state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
OH,2013,30.4,29.2,31.6,11260.0
OK,2013,32.5,31.2,33.9,7875.0
OR,2013,26.5,24.9,28.1,5668.0
PA,2013,30.0,28.9,31.2,10857.0
RI,2013,27.3,25.8,28.8,6191.0
SC,2013,31.7,30.5,33.1,10227.0
SD,2013,29.9,28.0,31.8,6531.0
TN,2013,33.7,31.9,35.5,5452.0
TX,2013,30.9,29.5,32.3,10085.0
UT,2013,24.1,23.2,25.1,12027.0
VT,2013,24.7,23.4,26.1,6106.0
VA,2013,27.2,25.9,28.5,7941.0
WA,2013,27.2,26.0,28.3,10554.0
WV,2013,35.1,33.6,36.6,5636.0
WI,2013,29.8,28.0,31.6,6188.0
WY,2013,27.8,26.2,29.5,6147.0
AL,2014,33.5,32.1,35.0,8190.0
AK,2014,29.7,27.8,31.7,4142.0
AZ,2014,28.9,27.7,30.2,13849.0
AR,2014,35.9,33.8,38.0,4886.0
CA,2014,24.7,23.5,25.9,8025.0
CO,2014,21.3,20.4,22.2,12567.0
CT,2014,26.3,24.9,27.7,7237.0
DE,2014,30.7,28.6,32.8,3983.0
DC,2014,21.7,19.5,24.0,3787.0
FL,2014,26.2,25.0,27.5,9156.0
GA,2014,30.5,28.9,32.1,5844.0
HI,2014,22.1,20.7,23.5,6905.0
ID,2014,28.9,27.1,30.8,5125.0
IL,2014,29.3,27.6,31.1,4835.0
IN,2014,32.7,31.6,34.0,10773.0
IA,2014,30.9,29.6,32.3,7572.0
KS,2014,31.3,30.3,32.2,12825.0
KY,2014,31.6,30.2,33.1,10442.0
LA,2014,34.9,33.4,36.4,6366.0
ME,2014,28.2,26.9,29.5,8705.0
MD,2014,29.6,28.1,31.1,11713.0
MA,2014,23.3,22.3,24.4,14394.0
MI,2014,30.7,29.4,32.0,8024.0
MN,2014,27.6,26.8,28.5,15309.0
MS,2014,35.5,33.4,37.6,3975.0
MO,2014,30.2,28.6,31.9,6695.0
MT,2014,26.4,24.9,27.9,7064.0
NE,2014,30.2,29.2,31.3,21130.0
NV,2014,27.7,25.4,30.1,3555.0
NH,2014,27.4,25.8,29.1,5730.0
NJ,2014,26.9,25.7,28.1,11955.0
NM,2014,28.4,27.0,30.0,8284.0
NY,2014,27.0,25.6,28.5,6325.0
NC,2014,29.7,28.4,31.0,6621.0
ND,2014,32.2,30.5,34.0,7269.0
OH,2014,32.6,31.2,34.1,10313.0
OK,2014,33.0,31.7,34.3,8009.0
OR,2014,27.9,26.3,29.6,4919.0
PA,2014,30.2,28.9,31.4,10374.0
RI,2014,27.0,25.4,28.6,5969.0
SC,2014,32.1,30.9,33.3,10393.0
SD,2014,29.8,27.9,31.8,6960.0
TN,2014,31.2,29.3,33.2,4793.0
TX,2014,31.9,30.6,33.3,14058.0
UT,2014,25.7,24.9,26.6,13965.0
VT,2014,24.8,23.5,26.1,6068.0
VA,2014,28.5,27.2,29.7,8879.0
WA,2014,27.3,26.0,28.5,9444.0
WV,2014,35.7,34.2,37.2,5846.0
WI,2014,31.2,29.6,32.8,6655.0
WY,2014,29.5,27.5,31.5,5973.0
AL,2015,35.6,34.1,37.2,7383.0
AK,2015,29.8,27.5,32.3,3434.0
AZ,2015,28.4,26.9,30.0,7152.0
AR,2015,34.5,32.2,36.9,4813.0
CA,2015,24.2,23.2,25.2,11459.0
CO,2015,20.2,19.1,21.3,12183.0
CT,2015,25.3,24.1,26.4,10901.0
DE,2015,29.7,27.6,31.8,3688.0
DC,2015,22.1,19.7,24.8,3654.0
FL,2015,26.8,25.5,28.1,8985.0
GA,2015,30.7,28.8,32.6,4269.0
HI,2015,22.7,21.3,24.1,6822.0
ID,2015,28.6,26.9,30.4,5358.0
IL,2015,30.8,29.2,32.4,5081.0
IN,2015,31.3,29.5,33.1,5647.0
IA,2015,32.1,30.5,33.8,5614.0
KS,2015,34.2,33.4,35.0,20930.0
KY,2015,34.6,32.9,36.3,8130.0
LA,2015,36.2,34.3,38.1,4324.0
ME,2015,30.0,28.6,31.4,8579.0
MD,2015,28.9,27.2,30.7,11357.0
MA,2015,24.3,23.0,25.6,8206.0
MI,2015,31.2,29.9,32.4,8329.0
MN,2015,26.1,25.3,27.0,15340.0
MS,2015,35.6,33.8,37.5,5664.0
MO,2015,32.4,30.8,34.0,6764.0
MT,2015,23.6,22.1,25.2,5563.0
NE,2015,31.4,30.3,32.5,16265.0
NV,2015,26.7,24.1,29.5,2701.0
NH,2015,26.3,24.8,27.9,6366.0
NJ,2015,25.6,24.3,26.9,10184.0
NM,2015,28.8,27.1,30.6,6206.0
NY,2015,25.0,24.0,26.1,11281.0
NC,2015,30.1,28.7,31.5,6019.0
ND,2015,31.0,29.3,32.8,4612.0
OH,2015,29.8,28.4,31.2,10924.0
OK,2015,33.9,32.2,35.6,6521.0
OR,2015,30.1,28.4,31.8,4905.0
PA,2015,30.0,28.4,31.6,5335.0
RI,2015,26.0,24.3,27.7,5668.0
SC,2015,31.7,30.5,33.0,10865.0
SD,2015,30.4,28.5,32.3,6707.0
TN,2015,33.8,31.9,35.7,5475.0
TX,2015,32.4,30.9,33.9,13230.0
