state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
NY,2022,30.1,29.1,31.2,15006.0
NC,2022,34.1,32.1,36.1,4035.0
ND,2022,35.4,33.6,37.3,3796.0
OH,2022,38.1,37.0,39.3,14868.0
OK,2022,40.0,38.4,41.6,5278.0
OR,2022,30.9,29.4,32.4,5274.0
PA,2022,33.4,31.2,35.5,4190.0
RI,2022,30.8,29.1,32.7,5120.0
SC,2022,35.0,33.6,36.4,8809.0
SD,2022,36.8,33.5,40.1,6834.0
TN,2022,38.9,37.1,40.8,4710.0
TX,2022,35.5,34.0,37.1,12204.0
UT,2022,31.1,29.9,32.4,8719.0
VT,2022,26.8,25.4,28.3,7768.0
VA,2022,35.2,33.8,36.6,9378.0
WA,2022,31.7,30.9,32.5,22869.0
WV,2022,41.0,39.3,42.8,4640.0
WI,2022,37.7,36.4,39.0,10080.0
WY,2022,34.3,32.3,36.2,3799.0
AL,2023,39.2,37.3,41.3,4077.0
AK,2023,35.2,33.3,37.0,5075.0
AZ,2023,31.9,30.5,33.3,10990.0
AR,2023,40.0,38.2,41.9,4901.0
CA,2023,27.7,26.4,29.0,10538.0
CO,2023,24.9,23.7,26.1,7958.0
CT,2023,29.4,27.9,30.9,8340.0
DE,2023,35.7,33.5,38.0,3899.0
DC,2023,23.5,21.4,25.8,2888.0
FL,2023,30.1,28.4,31.8,11943.0
GA,2023,35.0,33.4,36.7,7373.0
HI,2023,26.1,24.6,27.7,7388.0
ID,2023,31.0,29.4,32.5,6296.0
IL,2023,36.0,34.1,37.9,4903.0
IN,2023,37.8,36.6,39.1,9807.0
IA,2023,37.8,36.4,39.2,8171.0
KS,2023,35.9,34.6,37.3,9085.0
KY,2023,,,,
LA,2023,39.9,38.1,41.7,4912.0
ME,2023,32.6,31.4,33.9,11304.0
MD,2023,34.1,32.8,35.3,15316.0
MA,2023,27.4,26.0,28.8,8436.0
MI,2023,35.4,34.0,36.8,9087.0
MN,2023,33.3,32.1,34.4,14412.0
MS,2023,40.1,37.9,42.2,3837.0
MO,2023,35.3,33.7,36.9,6585.0
MT,2023,30.5,29.0,31.9,6705.0
NE,2023,36.6,35.4,37.8,11839.0
NV,2023,30.8,27.9,33.8,2447.0
NH,2023,32.8,31.0,34.6,6290.0
NJ,2023,28.9,27.5,30.3,8296.0
NM,2023,35.3,32.7,38.0,3029.0
NY,2023,28.0,27.0,29.1,15370.0
NC,2023,34.0,31.9,36.2,3722.0
ND,2023,35.6,33.9,37.3,5077.0
OH,2023,36.4,35.2,37.7,12121.0
OK,2023,38.7,37.2,40.2,6197.0
OR,2023,33.6,32.0,35.3,5721.0
PA,2023,,,,
RI,2023,31.6,29.7,33.5,5171.0
SC,2023,36.0,34.5,37.4,8943.0
SD,2023,36.0,33.0,39.2,5449.0
TN,2023,37.6,35.8,39.4,5141.0
TX,2023,34.4,32.7,36.2,9002.0
UT,2023,30.2,29.0,31.4,10000.0
VT,2023,28.8,27.2,30.4,6998.0
VA,2023,34.3,32.6,36.0,6412.0
WA,2023,30.6,29.8,31.4,23955.0
WV,2023,41.2,39.3,43.0,4095.0
WI,2023,35.9,34.7,37.2,11403.0
WY,2023,33.3,31.5,35.2,4124.0
AL,2024,38.9,37.1,40.7,4803.0
AK,2024,34.0,32.0,36.0,5074.0
AZ,2024,33.3,31.4,35.3,7755.0
AR,2024,38.9,37.2,40.7,4870.0
CA,2024,29.1,27.6,30.5,7451.0
CO,2024,25.0,24.0,26.0,9866.0
CT,2024,32.0,30.4,33.6,6311.0
DE,2024,36.6,34.5,38.9,3921.0
DC,2024,25.5,23.5,27.5,2901.0
FL,2024,29.6,28.1,31.3,11860.0
GA,2024,35.4,33.7,37.1,6551.0
HI,2024,27.0,25.4,28.6,6251.0
ID,2024,32.7,30.8,34.7,3932.0
IL,2024,34.2,33.1,35.3,11116.0
IN,2024,38.4,37.3,39.5,11576.0
IA,2024,36.6,35.3,38.0,8067.0
KS,2024,37.6,36.3,38.8,10027.0
KY,2024,37.2,35.5,38.9,6709.0
LA,2024,39.2,37.4,41.1,4196.0
ME,2024,33.2,32.1,34.4,11275.0
MD,2024,32.7,31.5,33.8,12984.0
MA,2024,27.0,25.8,28.2,8302.0
MI,2024,36.1,34.8,37.5,10330.0
MN,2024,32.3,31.4,33.3,13528.0
MS,2024,40.4,38.1,42.7,2824.0
MO,2024,34.6,33.1,36.2,6739.0
MT,2024,31.0,29.5,32.4,6402.0
NE,2024,37.6,36.4,38.9,11750.0
NV,2024,34.2,31.3,37.3,2472.0
NH,2024,31.1,29.3,32.9,6331.0
NJ,2024,27.7,26.3,29.0,7616.0
NM,2024,34.5,32.1,37.1,3144.0
NY,2024,29.5,28.8,30.2,39198.0
NC,2024,34.5,32.7,36.3,3902.0
ND,2024,36.8,35.2,38.5,5234.0
OH,2024,36.9,35.5,38.4,9214.0
OK,2024,36.8,35.4,38.2,6511.0
OR,2024,33.5,32.1,35.0,5653.0
PA,2024,34.2,32.0,36.5,3251.0
RI,2024,31.1,29.3,32.9,4836.0
SC,2024,34.6,32.9,36.4,8446.0
SD,2024,37.0,33.8,40.3,5382.0
TX,2024,35.6,34.0,37.3,10884.0
UT,2024,31.0,29.9,32.1,11656.0
VT,2024,29.0,27.5,30.5,5959.0
VA,2024,32.3,30.7,34.0,6288.0
WA,2024,31.5,30.7,32.2,22905.0
WV,2024,41.4,39.8,43.0,5473.0
WI,2024,37.4,36.1,38.7,11738.0
WY,2024,32.5,30.7,34.3,4278.0
TN,2024,,,,
