utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
MCOU,AK,00169413013,OZEMPIC   ,2024,4,true,,,
FFSU,AK,00169413013,OZEMPIC   ,2024,4,false,5415.000,1805,1635774.37
MCOU,AK,00169418113,OZEMPIC   ,2024,4,true,,,
FFSU,AK,00169418113,OZEMPIC   ,2024,4,false,5187.000,1729,1566066.31
FFSU,AK,00169477212,OZEMPIC   ,2024,4,false,5789.000,1930,1770012.02
FFSU,AK,00169413013,OZEMPIC   ,2024,3,false,4863.000,1621,1474619.47
FFSU,AK,00169418113,OZEMPIC   ,2024,3,false,4506.000,1502,1373328.27
FFSU,AK,00169477212,OZEMPIC   ,2024,3,false,4773.000,1591,1470299.79
FFSU,AK,00169413013,OZEMPIC   ,2024,2,false,5278.000,1760,1594025.11
FFSU,AK,00169418113,OZEMPIC   ,2024,2,false,5004.000,1668,1520818.98
FFSU,AK,00169477212,OZEMPIC   ,2024,2,false,4233.000,1411,1300109.45
FFSU,AK,00169413013,OZEMPIC   ,2024,1,false,4866.000,1622,1466784.18
FFSU,AK,00169418113,OZEMPIC   ,2024,1,false,4406.000,1467,1336693.22
FFSU,AK,00169477212,OZEMPIC   ,2024,1,false,3522.000,1174,1077110.88
FFSU,AL,00169413001,OZEMPIC 1M,2024,4,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2024,4,false,7071.000,2352,2276123.18
FFSU,AL,00169418103,OZEMPIC 0.,2024,4,true,,,
FFSU,AL,00169418113,OZEMPIC 0.,2024,4,false,9130.000,3043,2945877.16
FFSU,AL,00169477211,OZEMPIC 2M,2024,4,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2024,4,false,5512.000,1838,1761477.63
FFSU,AL,00169413001,OZEMPIC 1M,2024,3,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2024,3,false,6360.000,2118,2037514.66
FFSU,AL,00169418113,OZEMPIC 0.,2024,3,false,8849.000,2948,2844558.04
FFSU,AL,00169477211,OZEMPIC 2M,2024,3,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2024,3,false,4116.000,1372,1315913.47
FFSU,AL,00169413001,OZEMPIC 1M,2024,2,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2024,2,false,5655.000,1883,1811312.69
FFSU,AL,00169413212,OZEMPIC 0.,2024,2,true,,,
FFSU,AL,00169418113,OZEMPIC 0.,2024,2,false,8454.000,2813,2706728.60
FFSU,AL,00169477211,OZEMPIC 2M,2024,2,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2024,2,false,3697.000,1232,1185527.34
FFSU,AL,00169413001,OZEMPIC 1M,2024,1,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2024,1,false,4230.000,1406,1341395.80
FFSU,AL,00169418113,OZEMPIC 0.,2024,1,false,5640.000,1876,1795675.81
FFSU,AL,00169477211,OZEMPIC 2M,2024,1,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2024,1,false,2637.000,879,836702.25
MCOU,AR,00169413013,OZEMPIC   ,2024,4,false,186.000,62,59300.90
