utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00002143380,TRULICITY ,2016,4,false,40.000,20,12299.88
FFSU,AK,00002143480,TRULICITY ,2016,4,false,32.000,16,9813.26
FFSU,AK,00002143380,TRULICITY ,2016,3,false,26.000,13,7412.90
FFSU,AK,00002143480,TRULICITY ,2016,3,false,42.000,21,11847.85
FFSU,AK,00002143380,TRULICITY ,2016,2,true,,,
FFSU,AK,00002143480,TRULICITY ,2016,2,false,24.000,12,6758.44
FFSU,AK,00002143380,TRULICITY ,2016,1,true,,,
FFSU,AK,00002143480,TRULICITY ,2016,1,false,32.000,16,8882.87
FFSU,AL,00002143380,TRULICITY ,2016,4,false,188.000,92,59304.13
FFSU,AL,00002143480,TRULICITY ,2016,4,false,292.000,148,92917.15
FFSU,AL,00002143301,TRULICITY ,2016,3,true,,,
FFSU,AL,00002143380,TRULICITY ,2016,3,false,134.500,67,39936.00
FFSU,AL,00002143401,TRULICITY ,2016,3,true,,,
FFSU,AL,00002143480,TRULICITY ,2016,3,false,205.500,101,61061.85
FFSU,AL,00002143301,TRULICITY ,2016,2,true,,,
FFSU,AL,00002143380,TRULICITY ,2016,2,false,105.000,54,31633.18
FFSU,AL,00002143401,TRULICITY ,2016,2,true,,,
FFSU,AL,00002143480,TRULICITY ,2016,2,false,154.500,78,45942.18
FFSU,AL,00002143380,TRULICITY ,2016,1,false,97.000,50,28497.68
FFSU,AL,00002143401,TRULICITY ,2016,1,true,,,
FFSU,AL,00002143480,TRULICITY ,2016,1,false,116.000,54,36031.99
FFSU,AR,00002143380,TRULICITY ,2016,4,true,,,
FFSU,AR,00002143480,TRULICITY ,2016,4,true,,,
FFSU,AR,00002143380,TRULICITY ,2016,3,true,,,
FFSU,AR,00002143380,TRULICITY ,2016,2,true,,,
FFSU,AR,00002143380,TRULICITY ,2016,1,true,,,
MCOU,AZ,00002143380,TRULICITY ,2016,4,false,185.000,95,58090.52
MCOU,AZ,00002143480,TRULICITY ,2016,4,false,319.000,162,102264.40
MCOU,AZ,00002143380,TRULICITY ,2016,3,false,251.500,132,73561.61
MCOU,AZ,00002143480,TRULICITY ,2016,3,false,318.000,160,96905.24
MCOU,AZ,00002143380,TRULICITY ,2016,2,false,267.000,137,76794.62
MCOU,AZ,00002143480,TRULICITY ,2016,2,false,228.000,117,66903.84
MCOU,AZ,00002143380,TRULICITY ,2016,1,false,131.500,68,36943.58
MCOU,AZ,00002143480,TRULICITY ,2016,1,false,111.500,57,33077.27
FFSU,CA,00002143301,TRULICITY ,2016,4,true,,,
FFSU,CA,00002143380,TRULICITY ,2016,4,false,620.000,301,195919.92
MCOU,CA,00002143380,TRULICITY ,2016,4,false,644.500,323,200759.78
MCOU,CA,00002143401,TRULICITY ,2016,4,true,,,
FFSU,CA,00002143480,TRULICITY ,2016,4,false,924.000,452,288254.08
MCOU,CA,00002143480,TRULICITY ,2016,4,false,813.500,388,247704.78
FFSU,CA,00002143301,TRULICITY ,2016,3,true,,,
FFSU,CA,00002143380,TRULICITY ,2016,3,false,519.000,252,153796.96
