utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413212,OZEMPIC   ,2019,4,false,99.000,63,47255.24
FFSU,AK,00169413602,OZEMPIC   ,2019,4,false,94.500,33,23031.59
FFSU,AK,00169413212,OZEMPIC   ,2019,3,false,40.500,27,20090.51
FFSU,AK,00169413602,OZEMPIC   ,2019,3,false,66.000,19,16383.01
FFSU,AK,00169413212,OZEMPIC   ,2019,2,false,40.500,27,20330.67
FFSU,AK,00169413602,OZEMPIC   ,2019,2,false,45.000,13,11228.35
FFSU,AK,00169413212,OZEMPIC   ,2019,1,false,45.000,22,22148.09
FFSU,AK,00169413602,OZEMPIC   ,2019,1,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2019,4,false,438.000,292,228392.93
FFSU,AL,00169413602,OZEMPIC 1M,2019,4,false,300.000,101,75952.06
FFSU,AL,00169413212,OZEMPIC 0.,2019,3,false,300.000,200,160863.42
FFSU,AL,00169413602,OZEMPIC 1M,2019,3,false,195.000,65,49424.75
FFSU,AL,00169413212,OZEMPIC 0.,2019,2,false,244.500,163,130909.05
FFSU,AL,00169413602,OZEMPIC 1M,2019,2,false,147.000,49,37663.33
FFSU,AL,00169413212,OZEMPIC 0.,2019,1,false,103.500,69,54227.05
FFSU,AL,00169413602,OZEMPIC 1M,2019,1,false,78.000,27,20675.75
MCOU,AR,00169413212,OZEMPIC   ,2019,4,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2019,4,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2019,4,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2019,3,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2019,3,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2019,2,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2019,2,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2019,1,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2019,4,false,55.500,37,28247.60
MCOU,AZ,00169413602,OZEMPIC   ,2019,4,false,84.000,26,19991.76
MCOU,AZ,00169413212,OZEMPIC   ,2019,3,false,36.000,22,17090.03
MCOU,AZ,00169413602,OZEMPIC   ,2019,3,false,46.500,16,10954.99
MCOU,AZ,00169413212,OZEMPIC   ,2019,2,false,42.000,26,15638.64
MCOU,AZ,00169413602,OZEMPIC   ,2019,2,false,28.500,13,5629.14
MCOU,AZ,00169413212,OZEMPIC   ,2019,1,false,19.500,11,7722.22
