state,year,pct_65plus
AL,2011,14.047379765525845
AK,2011,8.278247862579464
AZ,2011,14.255174877578334
AR,2011,14.571291091859427
CA,2011,11.715410032454729
CO,2011,11.306621999928062
CT,2011,14.44233562089651
DE,2011,14.800963096070603
DC,2011,11.367590597612143
FL,2011,17.692930143588242
GA,2011,11.050215665473228
HI,2011,15.159374965012521
ID,2011,12.77627414450162
IL,2011,12.78838598561723
IN,2011,13.157814735418565
IA,2011,14.912001170183311
KS,2011,13.382991359629786
KY,2011,13.575441914546017
LA,2011,12.543556223475536
ME,2011,16.277024633957033
MD,2011,12.556672895781066
MA,2011,13.955388829967498
MI,2011,14.059083183737348
MN,2011,13.08803145702927
MS,2011,13.11756076451594
MO,2011,14.233913789296437
MT,2011,15.154575339431437
NE,2011,13.59941529239471
NV,2011,12.566667444075607
NH,2011,13.986468085300068
NJ,2011,13.722134106434096
NM,2011,13.62159004467863
NY,2011,13.718768742502679
NC,2011,13.372726833402336
ND,2011,14.513359636491726
OH,2011,14.256920829252042
OK,2011,13.700880771855465
OR,2011,14.237323616064506
PA,2011,15.529724486418056
RI,2011,14.656666777847134
SC,2011,14.228953639350921
SD,2011,14.359148263445006
TN,2011,13.75315538211317
TX,2011,10.582229925892712
UT,2011,9.193882422806656
VT,2011,14.980191982940525
VA,2011,12.649358061342753
WA,2011,12.673618388155429
WV,2011,16.23630759409932
WI,2011,13.875657160575258
WY,2011,12.805217360483457
AL,2012,14.5404779068927
AK,2012,8.79703591000662
AZ,2012,14.839295582181364
AR,2012,15.014458714599908
CA,2012,12.144628457708484
CO,2012,11.849838658435246
CT,2012,14.937052442686324
DE,2012,15.444481739622617
DC,2012,11.48858285824473
FL,2012,18.23525500241262
GA,2012,11.575824775164806
HI,2012,15.691183300841052
ID,2012,13.315646468719498
IL,2012,13.242165647323219
IN,2012,13.60117037486332
IA,2012,15.2667002244993
KS,2012,13.762158778771003
KY,2012,14.083252417227808
LA,2012,13.009592718629445
ME,2012,17.037413889265743
MD,2012,13.045413826347357
MA,2012,14.410055949994195
MI,2012,14.588149002807043
MN,2012,13.546951823740837
MS,2012,13.589149008373331
MO,2012,14.70495214315439
MT,2012,15.739401096060801
NE,2012,13.934151553096314
NV,2012,13.211280294467105
NH,2012,14.705071050326591
NJ,2012,14.194020861187747
NM,2012,14.192840578187205
NY,2012,14.160976803080978
NC,2012,13.94435063142651
ND,2012,14.510130830464623
OH,2012,14.766156938996035
OK,2012,14.058730475997107
OR,2012,14.845323740084254
PA,2012,15.995067171703282
RI,2012,15.138822414450967
SC,2012,14.883633585461277
SD,2012,14.568349008007036
TN,2012,14.261788691712713
TX,2012,10.938455817323163
UT,2012,9.504481715912119
VT,2012,15.682370237790847
VA,2012,13.150853244349095
WA,2012,13.200445353364602
WV,2012,16.80078797051792
WI,2012,14.347010203651514
WY,2012,13.217962912914222
AL,2013,14.943518438158057
AK,2013,9.274947446259336
AZ,2013,15.329372641898107
AR,2013,15.35711940002397
CA,2013,12.512265838759735
CO,2013,12.300069730344163
CT,2013,15.335961636401597
DE,2013,16.035803736042023
DC,2013,11.567658623950438
FL,2013,18.666800680658294
GA,2013,12.047569459227201
HI,2013,16.225758230661807
ID,2013,13.787266959085782
IL,2013,13.612857770701835
IN,2013,13.929173780393098
IA,2013,15.491298449518395
KS,2013,14.085932221638775
KY,2013,14.453615387122975
LA,2013,13.35117774878977
ME,2013,17.69048304381046
MD,2013,13.451735154659772
MA,2013,14.759206199309864
MI,2013,15.011374363108821
MN,2013,13.910187110033457
MS,2013,13.94118032797911
MO,2013,15.07818929767852
MT,2013,16.172349589061707
NE,2013,14.167732066721923
NV,2013,13.761454949471277
NH,2013,15.352628240279445
NJ,2013,14.539331188685845
NM,2013,14.710183011180892
NY,2013,14.513256024802615
NC,2013,14.402536871551114
ND,2013,14.34300259005436
OH,2013,15.13965312341145
OK,2013,14.289765944928371
OR,2013,15.366118295651154
PA,2013,16.344933708154265
RI,2013,15.498604222049963
SC,2013,15.39913687552665
SD,2013,14.821695412914003
TN,2013,14.674055541949851
TX,2013,11.218844999910644
UT,2013,9.754013068109755
VT,2013,16.294476332273128
VA,2013,13.579465657237373
WA,2013,13.65446338342475
WV,2013,17.28042834459425
