utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169406012,VICTOZA 2-,2012,4,false,96.000,16,5383.28
FFSU,AK,00169406013,VICTOZA 3-,2012,4,false,342.000,38,18968.92
FFSU,AK,00169406012,VICTOZA 2-,2012,3,false,66.000,11,3618.53
FFSU,AK,00169406013,VICTOZA 3-,2012,3,false,504.000,56,27050.52
FFSU,AK,00169406012,VICTOZA 2-,2012,2,false,102.000,17,5310.79
FFSU,AK,00169406013,VICTOZA 3-,2012,2,false,369.000,41,18957.11
FFSU,AK,00169406012,VICTOZA 2-,2012,1,false,84.000,14,4362.56
FFSU,AK,00169406013,VICTOZA 3-,2012,1,false,522.000,55,26785.40
FFSU,AL,00169406012,Victoza 6M,2012,4,false,1475.000,245,76324.87
FFSU,AL,00169406013,Victoza 6M,2012,4,false,2505.000,278,128145.72
FFSU,AL,00169406012,Victoza 6M,2012,3,false,1044.000,173,52151.63
FFSU,AL,00169406013,Victoza 6M,2012,3,false,1782.000,199,87600.43
FFSU,AL,00169406012,Victoza 6M,2012,2,false,1293.000,214,63246.54
FFSU,AL,00169406013,Victoza 6M,2012,2,false,1872.000,209,89034.91
FFSU,AL,00169406012,Victoza 6M,2012,1,false,1116.000,185,53789.26
FFSU,AL,00169406013,Victoza 6M,2012,1,false,1419.000,160,66984.96
FFSU,AR,00169406012,Victoza 6M,2012,4,true,,,
FFSU,AR,00169406013,Victoza 6M,2012,4,true,,,
FFSU,AR,00169406012,Victoza 6M,2012,3,true,,,
FFSU,AR,00169406013,Victoza 6M,2012,3,true,,,
FFSU,AR,00169406012,Victoza 6M,2012,2,true,,,
FFSU,AR,00169406013,Victoza 6M,2012,1,true,,,
MCOU,AZ,00169406012,VICTOZA 2-,2012,4,false,567.000,94,28700.77
MCOU,AZ,00169406013,VICTOZA 3-,2012,4,false,861.000,94,43465.07
MCOU,AZ,00169406012,VICTOZA 2-,2012,3,false,417.000,69,20627.91
MCOU,AZ,00169406013,VICTOZA 3-,2012,3,false,636.000,72,31558.72
FFSU,AZ,00169406013,VICTOZA 3-,2012,3,true,,,
MCOU,AZ,00169406012,VICTOZA 2-,2012,2,false,510.000,85,24305.80
MCOU,AZ,00169406013,VICTOZA 3-,2012,2,false,873.000,97,41665.98
MCOU,AZ,00169406012,VICTOZA 2-,2012,1,false,486.000,81,22731.32
FFSU,AZ,00169406012,VICTOZA 2-,2012,1,false,504.000,83,23564.74
MCOU,AZ,00169406013,VICTOZA 3-,2012,1,false,846.000,95,40145.23
FFSU,AZ,00169406013,VICTOZA 3-,2012,1,false,846.000,95,40145.23
FFSU,CA,00169406012,VICTOZA 6M,2012,4,false,1209.000,206,63254.17
MCOU,CA,00169406012,VICTOZA 6M,2012,4,false,1974.000,336,102268.22
MCOU,CA,00169406013,VICTOZA 6M,2012,4,false,3588.000,432,185606.51
FFSU,CA,00169406013,VICTOZA 6M,2012,4,false,1788.000,203,90988.49
FFSU,CA,00169406012,VICTOZA 6M,2012,3,false,1026.000,176,51409.05
MCOU,CA,00169406012,VICTOZA 6M,2012,3,false,1878.000,327,94713.04
MCOU,CA,00169406013,VICTOZA 6M,2012,3,false,3378.000,399,171384.28
FFSU,CA,00169406013,VICTOZA 6M,2012,3,false,1683.000,188,81288.23
MCOU,CA,00169406012,VICTOZA 6M,2012,2,false,1755.000,323,86496.40
FFSU,CA,00169406012,VICTOZA 6M,2012,2,false,852.000,148,40932.14
FFSU,CA,00169406013,VICTOZA 6M,2012,2,false,1764.000,195,83315.06
MCOU,CA,00169406013,VICTOZA 6M,2012,2,false,2877.000,338,140322.70
FFSU,CA,00169406012,VICTOZA 6M,2012,1,false,1368.000,177,53540.56
MCOU,CA,00169406012,VICTOZA 6M,2012,1,false,1533.000,262,73203.77
FFSU,CA,00169406013,VICTOZA 6M,2012,1,false,2181.000,234,101557.64
MCOU,CA,00169406013,VICTOZA 6M,2012,1,false,2157.000,258,103493.51
FFSU,CO,00169406012,VICTOZA   ,2012,4,false,474.000,69,25172.84
FFSU,CO,00169406013,VICTOZA 3-,2012,4,false,1161.000,108,60710.47
FFSU,CO,00169406012,VICTOZA   ,2012,3,false,462.000,63,23442.89
FFSU,CO,00169406013,VICTOZA 3-,2012,3,false,957.000,91,48640.14
FFSU,CO,00169406012,VICTOZA   ,2012,2,false,522.000,69,25329.80
FFSU,CO,00169406013,VICTOZA 3-,2012,2,false,777.000,77,37879.90
FFSU,CO,00169406012,VICTOZA 2-,2012,1,false,470.400,70,23880.09
FFSU,CO,00169406013,VICTOZA   ,2012,1,false,579.300,61,30715.57
FFSU,CT,00169406012,Victoza 6M,2012,4,false,1584.000,237,81174.60
FFSU,CT,00169406013,Victoza 6M,2012,4,false,3939.000,380,201495.83
FFSU,CT,00169406012,Victoza 6M,2012,3,false,1632.000,245,80804.19
FFSU,CT,00169406013,Victoza 6M,2012,3,false,3957.000,380,194993.72
FFSU,CT,00169406012,Victoza 6M,2012,2,false,1581.000,241,75081.31
FFSU,CT,00169406013,Victoza 6M,2012,2,false,3246.000,317,153798.30
FFSU,CT,00169406012,Victoza 6M,2012,1,false,1440.000,224,68394.29
FFSU,CT,00169406013,Victoza 6M,2012,1,false,2934.000,303,139048.41
MCOU,DC,00169406012,VICTOZA 2-,2012,4,true,,,
FFSU,DC,00169406012,VICTOZA 2-,2012,4,true,,,
MCOU,DC,00169406013,VICTOZA 3-,2012,4,true,,,
FFSU,DC,00169406013,VICTOZA 3-,2012,4,false,171.000,19,8990.04
MCOU,DC,00169406012,VICTOZA 2-,2012,3,false,72.000,11,3611.23
FFSU,DC,00169406012,VICTOZA 2-,2012,3,true,,,
FFSU,DC,00169406013,VICTOZA 3-,2012,3,false,135.000,15,6854.36
MCOU,DC,00169406013,VICTOZA 3-,2012,3,false,162.000,18,8207.72
MCOU,DC,00169406012,VICTOZA 2-,2012,2,false,139.000,20,6753.99
FFSU,DC,00169406012,VICTOZA 2-,2012,2,false,108.000,14,5270.18
MCOU,DC,00169406013,VICTOZA 3-,2012,2,false,126.000,12,6108.48
FFSU,DC,00169406013,VICTOZA 3-,2012,2,true,,,
FFSU,DC,00169406012,VICTOZA 2-,2012,1,true,,,
MCOU,DC,00169406012,VICTOZA 2-,2012,1,false,96.000,13,3908.86
FFSU,DC,00169406013,VICTOZA 3-,2012,1,true,,,
MCOU,DC,00169406013,VICTOZA 3-,2012,1,false,99.000,11,4805.49
FFSU,DE,00169406012,Victoza 6M,2012,4,false,249.000,31,13029.18
FFSU,DE,00169406013,Victoza 6M,2012,4,false,720.000,75,37576.35
FFSU,DE,00169406012,Victoza 6M,2012,3,false,138.000,21,6915.93
FFSU,DE,00169406013,Victoza 6M,2012,3,false,756.000,71,37712.30
FFSU,DE,00169406012,Victoza 6M,2012,2,false,126.000,21,6097.11
FFSU,DE,00169406013,Victoza 6M,2012,2,false,774.000,66,37114.35
FFSU,DE,00169406012,Victoza 6M,2012,1,false,174.000,29,8435.24
FFSU,DE,00169406013,Victoza 6M,2012,1,false,711.000,65,33810.84
MCOU,FL,00169406012,VICTOZA 2-,2012,4,false,252.000,42,12589.50
FFSU,FL,00169406012,VICTOZA 2-,2012,4,false,84.000,14,4362.68
MCOU,FL,00169406013,VICTOZA 3-,2012,4,false,720.000,77,36662.58
FFSU,FL,00169406013,VICTOZA 3-,2012,4,false,171.000,19,8845.83
FFSU,FL,00169406012,VICTOZA 2-,2012,3,false,78.000,13,3959.78
MCOU,FL,00169406012,VICTOZA 2-,2012,3,false,366.000,61,17773.50
MCOU,FL,00169406013,VICTOZA 3-,2012,3,false,834.000,90,40284.08
FFSU,FL,00169406013,VICTOZA 3-,2012,3,false,225.000,25,11194.39
FFSU,FL,00169406012,VICTOZA 2-,2012,2,false,78.000,13,3754.40
MCOU,FL,00169406012,VICTOZA 2-,2012,2,false,102.000,17,4634.24
MCOU,FL,00169406013,VICTOZA 3-,2012,2,true,,,
FFSU,FL,00169406013,VICTOZA 3-,2012,2,false,264.000,30,12511.38
FFSU,FL,00169406012,VICTOZA 2-,2012,1,true,,,
