utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00002143380,TRULICITY ,2017,4,false,72.000,35,23444.95
FFSU,AK,00002143480,TRULICITY ,2017,4,false,66.000,33,21722.47
FFSU,AK,00002143380,TRULICITY ,2017,3,false,86.000,49,32135.62
FFSU,AK,00002143480,TRULICITY ,2017,3,false,50.000,31,20357.03
FFSU,AK,00002143380,TRULICITY ,2017,2,false,58.000,28,18439.17
FFSU,AK,00002143480,TRULICITY ,2017,2,false,56.000,28,17996.75
FFSU,AK,00002143380,TRULICITY ,2017,1,false,57.000,28,17493.58
FFSU,AK,00002143480,TRULICITY ,2017,1,false,46.000,23,14096.17
FFSU,AL,00002143301,TRULICITY ,2017,4,true,,,
FFSU,AL,00002143380,TRULICITY ,2017,4,false,459.500,229,155154.23
FFSU,AL,00002143401,TRULICITY ,2017,4,true,,,
FFSU,AL,00002143480,TRULICITY ,2017,4,false,568.500,285,196667.21
FFSU,AL,00002143380,TRULICITY ,2017,3,false,456.500,228,154720.74
FFSU,AL,00002143480,TRULICITY ,2017,3,false,447.500,223,152611.15
FFSU,AL,00002143301,TRULICITY ,2017,2,true,,,
FFSU,AL,00002143380,TRULICITY ,2017,2,false,332.000,167,113189.03
FFSU,AL,00002143480,TRULICITY ,2017,2,false,381.000,191,128070.00
FFSU,AL,00002143301,TRULICITY ,2017,1,true,,,
FFSU,AL,00002143380,TRULICITY ,2017,1,false,273.000,137,88357.03
FFSU,AL,00002143480,TRULICITY ,2017,1,false,328.000,160,105419.04
FFSU,AR,00002143380,TRULICITY ,2017,4,true,,,
FFSU,AR,00002143480,TRULICITY ,2017,4,false,62.000,31,20300.77
FFSU,AR,00002143380,TRULICITY ,2017,3,false,34.000,17,11151.81
FFSU,AR,00002143480,TRULICITY ,2017,3,false,50.000,25,16366.75
FFSU,AR,00002143380,TRULICITY ,2017,2,false,30.000,17,10804.43
FFSU,AR,00002143480,TRULICITY ,2017,2,false,40.000,20,12465.86
FFSU,AR,00002143380,TRULICITY ,2017,1,false,28.000,14,9079.56
FFSU,AR,00002143480,TRULICITY ,2017,1,false,28.000,14,9079.56
FFSU,AZ,00002143380,TRULICITY ,2017,4,true,,,
MCOU,AZ,00002143380,TRULICITY ,2017,4,false,174.000,83,54871.85
MCOU,AZ,00002143480,TRULICITY ,2017,4,false,360.000,184,118136.15
MCOU,AZ,00002143380,TRULICITY ,2017,3,false,198.000,96,63845.31
FFSU,AZ,00002143380,TRULICITY ,2017,3,true,,,
