state,year,income_pc_nominal,income_pc_real,unemployment_rate
AL,2011,34884.0,48647.46955436099,9.558333333333334
AL,2012,35559.0,48583.43542566277,8.174999999999999
AL,2013,35706.0,48079.98676294096,7.358333333333333
AL,2014,36722.0,48658.73051786905,6.766666666666667
AL,2015,38189.0,50542.631356259946,6.083333333333333
AL,2016,38704.0,50586.04196680238,5.8
AL,2017,39968.0,51148.56642693107,4.508333333333334
AL,2018,41324.0,51622.957354804494,3.9250000000000003
AL,2019,42998.0,52758.07223403454,3.1916666666666664
AL,2020,45873.0,55599.79515888997,6.408333333333334
AL,2021,50630.0,58611.95071282556,3.391666666666667
AL,2022,51690.0,55405.10297822321,2.5416666666666665
AL,2023,54610.0,56220.73571436972,2.475
AL,2024,57251.0,57251.0,2.983333333333333
AK,2011,52415.0,73095.3192492785,7.608333333333333
AK,2012,53340.0,72877.20255363909,7.133333333333333
AK,2013,52252.0,70360.03664194226,6.925000000000001
AK,2014,55098.0,73007.97162664204,6.741666666666667
AK,2015,56714.0,75060.22139199577,6.283333333333334
AK,2016,55536.0,72585.4285517863,6.625
AK,2017,56500.0,72305.19423342688,6.608333333333333
AK,2018,58997.0,73700.50370393478,6.091666666666666
AK,2019,60504.0,74237.74134722605,5.6000000000000005
AK,2020,61912.0,75039.6642442656,8.283333333333333
AK,2021,65788.0,76159.64869633355,6.408333333333334
AK,2022,69233.0,74208.96681159464,4.366666666666666
AK,2023,72581.0,74721.79488893368,4.25
AK,2024,76606.0,76606.0,4.541666666666667
AZ,2011,35263.0,49176.00386697144,9.5
AZ,2012,36364.0,49683.28822010745,8.391666666666667
AZ,2013,36918.0,49712.00782261396,7.841666666666666
AZ,2014,38268.0,50707.26810788663,6.816666666666666
AZ,2015,39888.0,52791.23516034714,6.108333333333333
AZ,2016,41173.0,53813.01947858501,5.5
AZ,2017,43255.0,55355.06507198017,4.958333333333333
AZ,2018,45297.0,56586.1266891051,4.808333333333334
AZ,2019,47718.0,58549.460227537566,4.816666666666666
AZ,2020,52080.0,63122.91177544503,7.825
AZ,2021,57175.0,66188.78692486275,5.033333333333333
AZ,2022,59120.0,63369.11758701018,3.725
AZ,2023,63209.0,65073.36538673495,3.691666666666667
AZ,2024,66024.0,66024.0,3.6999999999999997
AR,2011,34181.0,47667.1011592023,7.883333333333333
AR,2012,36289.0,49580.81746286105,7.258333333333333
AR,2013,36286.0,48860.9869400122,7.041666666666667
AR,2014,38220.0,50643.66538840355,5.875
AR,2015,39267.0,51969.34995591032,4.95
AR,2016,40181.0,52516.477683652505,3.975
AR,2017,41403.0,52984.99038666501,3.7416666666666667
AR,2018,43031.0,53755.383746360276,3.65
AR,2019,43737.0,53664.8170914919,3.4916666666666667
AR,2020,47131.0,57124.53830431066,6.158333333333334
AR,2021,53349.0,61759.60810939227,4.041666666666667
AR,2022,53714.0,57574.57344500448,3.1750000000000003
AR,2023,56540.0,58207.661550823366,3.158333333333333
AR,2024,59172.0,59172.0,3.4916666666666667
CA,2011,45508.0,63463.16490310343,11.733333333333334
CA,2012,47793.0,65298.4653476954,10.391666666666667
CA,2013,48074.0,64734.14226297046,9.025
CA,2014,50617.0,67070.39275156522,7.566666666666666
CA,2015,53816.0,71224.75710462399,6.216666666666666
CA,2016,55862.0,73011.50982713711,5.516666666666667
CA,2017,58214.0,74498.66508149933,4.833333333333333
CA,2018,60984.0,76182.71298338489,4.258333333333334
CA,2019,64219.0,78796.00541414633,4.091666666666667
CA,2020,70090.0,84951.70672697661,10.166666666666666
CA,2021,77113.0,89270.06429622984,7.3500000000000005
CA,2022,77230.0,82780.73327545324,4.283333333333333
CA,2023,81231.0,83626.92881915339,4.716666666666667
CA,2024,86378.0,86378.0,5.291666666666667
CO,2011,43735.0,60990.62839582554,8.691666666666666
CO,2012,45495.0,62158.76134566573,7.991666666666667
CO,2013,47088.0,63406.44196194936,6.7250000000000005
CO,2014,50251.0,66585.42201550672,4.95
CO,2015,51401.0,68028.5368651475,3.6999999999999997
CO,2016,51312.0,67064.66994110592,3.1166666666666667
CO,2017,54176.0,69331.08323522362,2.6166666666666667
CO,2018,57798.0,72202.68340898727,3.025
CO,2019,61278.0,75187.43081904201,2.6666666666666665
CO,2020,64707.0,78427.30899104687,6.791666666666667
CO,2021,71924.0,83263.0049984054,5.508333333333333
CO,2022,76653.0,82162.26269277894,3.0666666666666664
CO,2023,80021.0,82381.23956417468,3.283333333333333
CO,2024,82625.0,82625.0,4.125
CT,2011,62964.0,87806.42337520885,9.008333333333333
CT,2012,63556.0,86835.08596736193,8.383333333333335
CT,2013,62000.0,83486.22582485687,7.95
CT,2014,64484.0,85444.95339889625,6.616666666666667
CT,2015,66222.0,87643.93238037777,5.608333333333333
CT,2016,67551.0,88289.00684424007,4.875
CT,2017,69147.0,88490.0401001552,4.408333333333333
CT,2018,72159.0,90142.79788416749,3.9
CT,2019,74176.0,91013.13470467803,3.5833333333333335
CT,2020,76832.0,93123.26339345223,8.008333333333333
CT,2021,82126.0,95073.3767379323,6.441666666666666
CT,2022,85393.0,91530.43061751623,4.0
CT,2023,90276.0,92938.71337393226,3.1999999999999997
CT,2024,95083.0,95083.0,3.3083333333333336
DE,2011,43779.0,61051.988579875295,7.433333333333334
DE,2012,43771.0,59803.300205761836,6.958333333333333
DE,2013,43943.0,59171.53582938202,6.533333333333334
DE,2014,45359.0,60103.244854856006,5.616666666666667
DE,2015,47238.0,62518.861976145155,4.808333333333334
DE,2016,48186.0,62978.99488973593,4.533333333333333
DE,2017,49997.0,63983.0583378521,4.3999999999999995
DE,2018,52670.0,65796.65966212256,3.6916666666666664
DE,2019,53778.0,65985.01345648424,3.5500000000000003
DE,2020,55520.0,67292.32069456045,7.5249999999999995
DE,2021,59869.0,69307.50300663941,5.483333333333333
DE,2022,64087.0,68693.10958725847,4.208333333333333
DE,2023,64658.0,66565.10400695326,3.891666666666666
DE,2024,68177.0,68177.0,3.9166666666666665
DC,2011,66985.0,93413.90746757457,10.083333333333334
DC,2012,67522.0,92253.73961055152,8.958333333333334
DC,2013,67081.0,90328.05668640682,8.416666666666666
DC,2014,70527.0,93452.270770485,7.716666666666666
DC,2015,74784.0,98975.62500580125,6.883333333333333
DC,2016,77500.0,101292.32772910253,6.233333333333333
DC,2017,79567.0,101824.90954993055,6.108333333333333
DC,2018,82272.0,102776.20626015088,5.716666666666666
DC,2019,83675.0,102668.30304160288,5.516666666666667
DC,2020,90736.0,109975.43246652803,7.966666666666666
DC,2021,98087.0,113550.66975249695,6.8500000000000005
DC,2022,101182.0,108454.22962937862,4.7
DC,2023,107384.0,110551.31814597835,4.858333333333333
DC,2024,112944.0,112944.0,5.308333333333334
FL,2011,40437.0,56391.4036913684,10.183333333333334
FL,2012,41211.0,56305.63169175141,8.674999999999999
FL,2013,40743.0,54862.569335195854,7.516666666666667
FL,2014,42877.0,56814.45423491834,6.441666666666666
FL,2015,44957.0,59499.98894664376,5.5
FL,2016,45730.0,59769.00834905625,4.908333333333334
FL,2017,48447.0,61999.46451374924,4.283333333333333
FL,2018,51015.0,63729.19294974715,3.641666666666667
FL,2019,53666.0,65847.59069053672,3.2416666666666667
FL,2020,56599.0,68600.10913168995,8.066666666666666
FL,2021,62604.0,72473.68284467176,4.7250000000000005
FL,2022,65328.0,70023.30368275035,3.0083333333333333
FL,2023,69983.0,72047.16622411163,2.9250000000000003
FL,2024,73340.0,73340.0,3.358333333333333
GA,2011,36760.0,51263.64467430083,10.033333333333333
GA,2012,37250.0,50893.80943237825,9.041666666666666
GA,2013,37484.0,50474.15627127314,8.133333333333333
GA,2014,39550.0,52405.990740747264,7.1499999999999995
GA,2015,41527.0,54960.42976593802,6.05
GA,2016,42742.0,55863.698990932906,5.45
GA,2017,44836.0,57378.33077256509,4.758333333333334
GA,2018,46624.0,58243.84773280429,4.016666666666667
GA,2019,48529.0,59544.54829167548,3.6
GA,2020,51497.0,62416.29392665308,6.55
GA,2021,56257.0,65126.06184577182,3.9166666666666665
GA,2022,57405.0,61530.85580315154,3.1166666666666667
GA,2023,60010.0,61780.01007543173,3.225
GA,2024,62875.0,62875.0,3.4
HI,2011,42758.0,59628.15339999333,6.708333333333333
HI,2012,43523.0,59464.46356846707,5.808333333333334
HI,2013,43548.0,58639.64777775591,4.716666666666667
HI,2014,45445.0,60217.19972726319,4.2250000000000005
HI,2015,47150.0,62402.3951516839,3.4166666666666665
HI,2016,48561.0,63469.119056167074,2.908333333333333
