utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413212,OZEMPIC   ,2020,4,false,514.500,317,252500.39
FFSU,AK,00169413602,OZEMPIC   ,2020,4,false,789.000,231,194829.25
FFSU,AK,00169413212,OZEMPIC   ,2020,3,false,508.500,314,250464.73
FFSU,AK,00169413602,OZEMPIC   ,2020,3,false,600.000,183,148051.40
FFSU,AK,00169413212,OZEMPIC   ,2020,2,false,348.000,228,173759.11
FFSU,AK,00169413602,OZEMPIC   ,2020,2,false,465.000,140,116253.19
FFSU,AK,00169413212,OZEMPIC   ,2020,1,false,156.000,102,77796.89
FFSU,AK,00169413602,OZEMPIC   ,2020,1,false,178.500,60,43836.36
FFSU,AL,00169413212,OZEMPIC 0.,2020,4,false,883.500,591,476073.77
FFSU,AL,00169413602,OZEMPIC 1M,2020,4,false,876.000,292,235166.26
FFSU,AL,00169413212,OZEMPIC 0.,2020,3,false,754.500,503,412560.56
FFSU,AL,00169413602,OZEMPIC 1M,2020,3,false,706.500,236,189046.32
FFSU,AL,00169413211,OZEMPIC 0.,2020,2,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2020,2,false,738.000,492,404681.27
FFSU,AL,00169413602,OZEMPIC 1M,2020,2,false,646.500,216,175217.08
FFSU,AL,00169413211,OZEMPIC 0.,2020,1,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2020,1,false,580.500,387,315617.07
FFSU,AL,00169413602,OZEMPIC 1M,2020,1,false,429.000,143,119008.18
MCOU,AR,00169413212,OZEMPIC   ,2020,4,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2020,4,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2020,4,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2020,4,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2020,3,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2020,3,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2020,3,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2020,3,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2020,2,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2020,2,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2020,2,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2020,1,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2020,1,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2020,1,true,,,
FFSU,AZ,00169413212,OZEMPIC   ,2020,4,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2020,4,false,130.500,70,68526.15
FFSU,AZ,00169413602,OZEMPIC   ,2020,4,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2020,4,false,333.000,89,87627.36
MCOU,AZ,00169413212,OZEMPIC   ,2020,3,false,123.000,68,64581.82
FFSU,AZ,00169413212,OZEMPIC   ,2020,3,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2020,3,false,240.000,72,63154.00
MCOU,AZ,00169413212,OZEMPIC   ,2020,2,false,133.500,77,69942.35
FFSU,AZ,00169413212,OZEMPIC   ,2020,2,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2020,2,false,226.500,64,59730.02
FFSU,AZ,00169413212,OZEMPIC   ,2020,1,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2020,1,false,105.000,63,50400.57
MCOU,AZ,00169413602,OZEMPIC   ,2020,1,false,145.500,43,38447.57
MCOU,CA,00169413211,OZEMPIC 0.,2020,4,true,,,
MCOU,CA,00169413212,OZEMPIC 0.,2020,4,false,16485.500,9501,8728004.21
FFSU,CA,00169413212,OZEMPIC 0.,2020,4,false,1467.000,898,780691.76
FFSU,CA,00169413602,OZEMPIC 1M,2020,4,false,2644.500,830,708802.96
MCOU,CA,00169413602,OZEMPIC 1M,2020,4,false,19580.500,5508,5156896.11
MCOU,CA,00169413611,OZEMPIC 1M,2020,4,true,,,
MCOU,CA,00169413211,OZEMPIC 0.,2020,3,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2020,3,true,,,
MCOU,CA,00169413212,OZEMPIC 0.,2020,3,false,15062.500,8680,8008250.03
FFSU,CA,00169413212,OZEMPIC 0.,2020,3,false,1212.000,762,645906.54
MCOU,CA,00169413602,OZEMPIC 1M,2020,3,false,17123.000,4867,4514236.48
FFSU,CA,00169413602,OZEMPIC 1M,2020,3,false,2076.000,675,552231.00
MCOU,CA,00169413611,OZEMPIC 1M,2020,3,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2020,2,true,,,
MCOU,CA,00169413211,OZEMPIC 0.,2020,2,true,,,
FFSU,CA,00169413212,OZEMPIC 0.,2020,2,false,1278.000,803,679715.93
MCOU,CA,00169413212,OZEMPIC 0.,2020,2,false,14264.000,8284,7555078.61
FFSU,CA,00169413602,OZEMPIC 1M,2020,2,false,1899.000,624,509451.62
MCOU,CA,00169413602,OZEMPIC 1M,2020,2,false,14611.000,4241,3861044.08
FFSU,CA,00169413611,OZEMPIC 1M,2020,2,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2020,1,true,,,
MCOU,CA,00169413211,OZEMPIC 0.,2020,1,false,21.000,14,10933.64
FFSU,CA,00169413212,OZEMPIC 0.,2020,1,false,1005.000,656,535167.90
MCOU,CA,00169413212,OZEMPIC 0.,2020,1,false,12921.500,7705,6809513.19
