state,year,diabetes_pct,diabetes_ci_low,diabetes_ci_high
MI,2014,10.4,9.7,11.1
MN,2014,8.1,7.7,8.6
MS,2014,13.0,11.8,14.3
MO,2014,11.1,10.2,12.1
MT,2014,8.8,8.0,9.6
NE,2014,9.2,8.6,9.7
NV,2014,9.6,8.4,10.9
NH,2014,9.1,8.3,10.1
NJ,2014,9.7,9.0,10.4
NM,2014,11.5,10.7,12.5
NY,2014,10.0,9.2,10.9
NC,2014,10.8,10.1,11.6
ND,2014,8.6,7.8,9.5
OH,2014,11.7,10.9,12.6
OK,2014,12.0,11.2,12.8
OR,2014,9.0,8.1,9.9
PA,2014,11.2,10.5,12.0
RI,2014,9.4,8.6,10.3
SC,2014,12.0,11.3,12.7
SD,2014,9.1,8.1,10.3
TN,2014,13.0,11.9,14.2
TX,2014,11.0,10.3,11.8
UT,2014,7.1,6.7,7.6
VT,2014,7.9,7.2,8.6
VA,2014,9.7,9.0,10.4
WA,2014,8.9,8.2,9.6
WV,2014,14.1,13.2,15.1
WI,2014,9.0,8.1,9.9
WY,2014,8.4,7.5,9.4
AL,2015,13.5,12.6,14.4
AK,2015,7.6,6.4,9.2
AZ,2015,10.1,9.3,10.9
AR,2015,12.6,11.4,14.0
CA,2015,10.0,9.3,10.8
CO,2015,6.8,6.2,7.3
CT,2015,9.3,8.6,10.0
DE,2015,11.5,10.3,12.7
DC,2015,8.5,7.3,10.0
FL,2015,11.3,10.5,12.1
GA,2015,11.3,10.3,12.4
HI,2015,8.5,7.7,9.4
ID,2015,8.1,7.3,9.0
IL,2015,9.9,9.0,10.9
IN,2015,11.4,10.4,12.5
IA,2015,8.8,8.0,9.6
KS,2015,9.7,9.3,10.1
KY,2015,13.4,12.4,14.6
LA,2015,12.7,11.6,13.9
ME,2015,9.9,9.1,10.7
MD,2015,10.3,9.4,11.3
MA,2015,8.9,8.2,9.7
MI,2015,10.7,10.0,11.5
MN,2015,7.6,7.1,8.0
MS,2015,14.7,13.6,15.9
MO,2015,11.5,10.6,12.4
MT,2015,7.9,7.0,8.8
NE,2015,8.8,8.2,9.4
NV,2015,9.7,8.2,11.3
NH,2015,8.1,7.4,8.9
NJ,2015,9.0,8.3,9.8
NM,2015,11.5,10.5,12.6
NY,2015,9.8,9.2,10.5
NC,2015,10.7,9.9,11.5
ND,2015,8.7,7.9,9.7
OH,2015,11.0,10.3,11.8
OK,2015,11.7,10.8,12.7
OR,2015,10.7,9.7,11.7
PA,2015,10.4,9.5,11.4
RI,2015,9.0,8.2,10.0
SC,2015,11.8,11.1,12.6
SD,2015,9.3,8.3,10.4
TN,2015,12.7,11.6,13.8
TX,2015,11.4,10.5,12.4
UT,2015,7.0,6.5,7.6
VT,2015,8.2,7.5,9.1
VA,2015,10.3,9.6,11.2
WA,2015,8.4,7.9,8.9
WV,2015,14.5,13.5,15.5
WI,2015,8.4,7.5,9.3
WY,2015,8.4,7.5,9.4
AL,2016,14.6,13.6,15.7
AK,2016,7.5,6.1,9.0
AZ,2016,10.8,10.0,11.7
AR,2016,13.5,12.1,14.9
CA,2016,10.2,9.4,10.9
CO,2016,6.6,6.2,7.1
CT,2016,9.8,9.1,10.5
DE,2016,10.6,9.5,11.9
DC,2016,7.7,6.9,8.6
FL,2016,11.8,11.1,12.4
GA,2016,12.1,11.1,13.1
HI,2016,10.5,9.6,11.4
ID,2016,8.9,8.0,9.9
IL,2016,10.4,9.4,11.4
IN,2016,11.5,10.8,12.3
IA,2016,9.3,8.6,10.1
KS,2016,9.4,8.9,10.0
KY,2016,13.1,12.2,14.0
LA,2016,12.1,11.0,13.3
ME,2016,10.6,9.8,11.4
MD,2016,10.8,10.1,11.4
MA,2016,9.3,8.5,10.1
MI,2016,11.2,10.5,11.8
MN,2016,8.4,8.0,8.9
MS,2016,13.6,12.5,14.7
MO,2016,11.5,10.6,12.6
MT,2016,8.1,7.3,9.0
NE,2016,8.8,8.2,9.5
NV,2016,11.1,9.9,12.4
NH,2016,9.0,8.2,9.8
NJ,2016,9.2,8.3,10.2
NM,2016,11.6,10.6,12.7
NY,2016,10.5,9.8,11.1
NC,2016,11.3,10.4,12.2
ND,2016,8.6,7.9,9.5
OH,2016,11.1,10.4,11.9
OK,2016,12.0,11.1,12.9
OR,2016,9.5,8.7,10.4
PA,2016,11.3,10.3,12.3
RI,2016,9.8,8.9,10.8
SC,2016,13.0,12.3,13.8
SD,2016,7.9,7.0,9.0
TN,2016,12.7,11.7,13.8
TX,2016,11.2,10.2,12.3
UT,2016,7.2,6.7,7.8
VT,2016,8.4,7.6,9.3
VA,2016,10.4,9.7,11.2
WA,2016,9.4,8.8,10.0
WV,2016,15.0,14.1,15.9
WI,2016,9.8,8.8,10.8
WY,2016,8.3,7.3,9.4
AL,2017,14.1,13.2,15.2
AK,2017,7.4,6.2,8.9
AZ,2017,10.4,9.9,11.0
AR,2017,12.2,11.0,13.6
CA,2017,10.5,9.6,11.4
CO,2017,7.4,6.8,8.0
CT,2017,9.8,9.1,10.5
DE,2017,11.3,10.1,12.5
DC,2017,7.5,6.6,8.4
FL,2017,10.5,9.7,11.4
GA,2017,11.4,10.4,12.3
HI,2017,10.9,10.0,11.8
ID,2017,8.7,7.8,9.7
IL,2017,11.0,10.0,12.0
IN,2017,11.8,11.2,12.5
IA,2017,9.6,8.9,10.3
KS,2017,10.5,10.0,11.0
KY,2017,12.9,11.8,14.0
LA,2017,13.6,12.4,14.8
ME,2017,10.7,9.8,11.6
MD,2017,10.4,9.7,11.1
MA,2017,9.5,8.5,10.6
MI,2017,11.0,10.4,11.8
MN,2017,7.8,7.3,8.2
MS,2017,14.2,13.0,15.4
MO,2017,10.4,9.6,11.3
MT,2017,7.9,7.0,8.8
NE,2017,10.1,9.5,10.8
NV,2017,10.4,9.1,11.9
NH,2017,8.4,7.6,9.3
NJ,2017,11.0,10.2,12.0
NM,2017,10.7,9.7,11.7
NY,2017,10.5,9.8,11.2
NC,2017,11.4,10.3,12.5
ND,2017,9.0,8.2,9.7
OH,2017,11.3,10.6,12.1
OK,2017,12.7,11.8,13.7
OR,2017,9.6,8.7,10.5
PA,2017,10.6,9.7,11.6
RI,2017,8.9,8.0,9.8
SC,2017,13.4,12.7,14.2
SD,2017,11.1,9.8,12.5
TN,2017,13.1,12.0,14.2
TX,2017,11.9,10.8,13.1
UT,2017,7.1,6.5,7.7
VT,2017,8.2,7.4,9.1
VA,2017,10.5,9.8,11.3
WA,2017,9.1,8.6,9.8
WV,2017,15.2,14.2,16.3
WI,2017,9.1,8.1,10.2
WY,2017,9.0,8.1,10.0
AL,2018,14.5,13.5,15.5
AK,2018,8.8,7.4,10.3
AZ,2018,10.8,9.8,11.9
AR,2018,13.9,12.7,15.1
CA,2018,10.4,9.7,11.2
CO,2018,7.0,6.5,7.6
CT,2018,9.7,9.0,10.4
DE,2018,11.9,10.9,13.0
DC,2018,8.4,7.5,9.4
FL,2018,12.6,11.6,13.6
GA,2018,12.6,11.8,13.4
HI,2018,11.5,10.6,12.5
ID,2018,10.2,9.1,11.4
IL,2018,10.0,9.2,11.0
IN,2018,12.5,11.7,13.3
IA,2018,10.0,9.3,10.7
KS,2018,11.6,10.9,12.3
KY,2018,13.7,12.7,14.8
LA,2018,14.1,12.9,15.4
ME,2018,10.6,9.8,11.4
MD,2018,12.0,11.3,12.7
MA,2018,8.6,7.8,9.5
MI,2018,11.7,10.9,12.5
MN,2018,8.9,8.5,9.4
MS,2018,14.3,13.3,15.4
MO,2018,11.5,10.5,12.5
MT,2018,9.3,8.4,10.4
NE,2018,9.7,9.1,10.4
NV,2018,10.7,9.4,12.3
NH,2018,10.3,9.5,11.3
NJ,2018,10.8,9.2,12.5
NM,2018,12.5,11.5,13.6
NY,2018,11.0,10.4,11.6
NC,2018,12.5,11.4,13.7
ND,2018,9.4,8.5,10.3
OH,2018,12.2,11.5,13.0
OK,2018,12.5,11.5,13.6
OR,2018,11.0,10.0,12.0
PA,2018,11.3,10.3,12.3
RI,2018,10.9,9.9,11.9
SC,2018,13.3,12.5,14.1
SD,2018,9.3,8.3,10.4
TN,2018,13.8,12.6,15.1
TX,2018,12.6,11.3,14.0
UT,2018,8.4,7.8,9.0
VT,2018,9.2,8.3,10.1
VA,2018,10.5,9.8,11.3
WA,2018,9.9,9.3,10.5
WV,2018,16.2,15.0,17.3
WI,2018,8.7,7.7,9.7
WY,2018,8.7,7.9,9.7
AL,2019,14.0,13.0,14.9
AK,2019,7.3,6.2,8.5
AZ,2019,10.9,10.0,12.0
AR,2019,13.6,12.5,14.8
CA,2019,10.1,9.4,10.8
CO,2019,7.0,6.5,7.6
CT,2019,9.6,8.9,10.3
DE,2019,12.8,11.5,14.2
DC,2019,8.7,7.6,9.9
FL,2019,11.7,10.8,12.6
GA,2019,12.0,11.0,13.0
HI,2019,10.5,9.7,11.4
ID,2019,10.3,9.2,11.4
IL,2019,11.3,10.4,12.2
IN,2019,12.4,11.7,13.2
IA,2019,10.3,9.6,10.9
KS,2019,10.8,10.2,11.5
KY,2019,13.3,12.3,14.5
LA,2019,12.6,11.5,13.7
ME,2019,10.6,9.8,11.4
MD,2019,11.0,10.4,11.7
MA,2019,8.4,7.7,9.2
MI,2019,11.1,10.4,11.8
MN,2019,8.8,8.3,9.3
MS,2019,14.8,13.7,16.0
MO,2019,10.3,9.5,11.2
MT,2019,7.6,6.9,8.3
NE,2019,10.2,9.6,10.8
NV,2019,10.9,9.4,12.7
NH,2019,9.2,8.3,10.2
NJ,2019,,,
NM,2019,12.3,11.2,13.4
NY,2019,10.5,9.8,11.3
NC,2019,11.8,10.8,12.9
ND,2019,8.9,8.1,9.8
OH,2019,12.0,11.2,12.8
OK,2019,12.2,11.3,13.1
OR,2019,8.6,7.8,9.4
PA,2019,10.8,9.9,11.8
RI,2019,10.4,9.5,11.5
SC,2019,13.4,12.4,14.4
SD,2019,10.6,9.2,12.2
TN,2019,13.8,12.7,14.9
TX,2019,12.2,11.2,13.4
UT,2019,8.0,7.5,8.6
VT,2019,8.7,7.8,9.6
VA,2019,10.9,10.2,11.7
WA,2019,9.4,8.8,10.0
WV,2019,15.7,14.6,16.8
WI,2019,8.7,7.8,9.6
WY,2019,7.8,6.9,8.8
AL,2020,14.8,13.7,16.1
AK,2020,7.6,6.5,9.0
AZ,2020,11.0,10.2,11.8
AR,2020,13.2,12.1,14.3
CA,2020,9.8,8.8,11.0
CO,2020,7.6,7.0,8.1
CT,2020,9.5,8.6,10.4
DE,2020,12.4,11.1,13.9
DC,2020,7.5,6.5,8.7
FL,2020,11.8,10.7,13.0
GA,2020,11.6,10.7,12.5
HI,2020,10.9,10.0,11.9
ID,2020,8.8,7.9,9.8
IL,2020,10.6,9.4,12.0
IN,2020,11.8,11.1,12.5
IA,2020,10.2,9.5,10.9
KS,2020,11.1,10.4,11.8
KY,2020,13.0,11.8,14.3
LA,2020,14.1,12.9,15.4
ME,2020,10.3,9.5,11.1
MD,2020,10.2,9.5,10.8
MA,2020,8.8,7.9,9.7
MI,2020,12.3,11.4,13.3
MN,2020,8.8,8.3,9.3
MS,2020,14.6,13.6,15.7
MO,2020,10.8,10.0,11.6
MT,2020,9.1,8.3,9.9
NE,2020,9.9,9.3,10.5
NV,2020,11.1,9.5,12.8
NH,2020,8.8,8.1,9.7
NJ,2020,10.0,9.2,10.8
NM,2020,12.4,11.3,13.7
NY,2020,10.3,9.6,11.0
NC,2020,12.4,11.3,13.4
ND,2020,9.9,8.9,11.0
OH,2020,12.4,11.7,13.1
OK,2020,13.0,11.9,14.1
OR,2020,9.5,8.6,10.5
PA,2020,11.4,10.4,12.6
RI,2020,10.3,9.3,11.4
SC,2020,13.6,12.4,14.9
SD,2020,7.9,6.9,9.1
TN,2020,14.1,12.8,15.5
TX,2020,12.6,11.4,13.8
UT,2020,8.2,7.6,8.9
VT,2020,7.9,7.1,8.8
VA,2020,11.1,10.3,11.9
WA,2020,8.6,8.0,9.3
WV,2020,15.7,14.7,16.8
WI,2020,8.9,7.9,9.9
WY,2020,8.5,7.6,9.6
AL,2021,15.1,13.8,16.4
AK,2021,8.3,7.3,9.5
AZ,2021,11.0,10.3,11.9
AR,2021,12.5,11.4,13.6
CA,2021,11.6,10.6,12.7
CO,2021,7.0,6.5,7.6
CT,2021,10.8,9.9,11.8
DE,2021,12.0,10.7,13.4
DC,2021,7.7,6.7,8.9
FL,2021,,,
GA,2021,12.3,11.3,13.3
HI,2021,9.5,8.6,10.4
ID,2021,9.8,9.0,10.6
IL,2021,10.8,9.6,12.2
IN,2021,12.1,11.4,12.9
IA,2021,9.7,9.0,10.5
KS,2021,11.1,10.5,11.6
KY,2021,13.8,12.6,15.1
LA,2021,13.6,12.5,14.9
ME,2021,10.4,9.7,11.2
MD,2021,11.1,10.4,11.8
MA,2021,8.9,8.1,9.9
MI,2021,10.8,10.1,11.6
MN,2021,9.0,8.5,9.5
MS,2021,15.2,14.0,16.6
MO,2021,11.3,10.5,12.1
MT,2021,8.9,8.1,9.7
NE,2021,9.6,9.0,10.3
NV,2021,11.5,10.0,13.3
NH,2021,8.7,7.9,9.6
NJ,2021,10.3,9.4,11.1
NM,2021,13.2,12.1,14.3
NY,2021,11.4,10.9,12.0
NC,2021,12.7,11.6,13.9
ND,2021,9.5,8.7,10.4
OH,2021,12.6,11.9,13.3
OK,2021,12.8,11.8,13.9
OR,2021,9.6,8.6,10.6
PA,2021,11.1,10.1,12.1
RI,2021,10.4,9.5,11.5
SC,2021,13.7,12.9,14.6
SD,2021,10.8,9.3,12.5
TN,2021,14.0,12.8,15.3
TX,2021,11.5,10.5,12.5
UT,2021,8.0,7.4,8.6
VT,2021,8.5,7.6,9.5
VA,2021,11.5,10.7,12.3
WA,2021,8.7,8.2,9.3
WV,2021,15.9,14.9,16.9
WI,2021,9.1,8.2,10.1
WY,2021,8.8,7.8,9.9
AL,2022,15.5,14.3,16.9
AK,2022,8.7,7.8,9.7
AZ,2022,12.7,11.7,13.8
AR,2022,15.7,14.6,16.9
CA,2022,11.5,10.6,12.5
CO,2022,8.1,7.4,8.9
CT,2022,10.7,9.8,11.8
DE,2022,13.9,12.5,15.3
DC,2022,8.0,6.9,9.3
FL,2022,12.2,11.1,13.4
GA,2022,12.1,11.2,13.0
HI,2022,11.7,10.8,12.8
ID,2022,9.9,9.1,10.8
IL,2022,12.0,10.8,13.3
IN,2022,12.7,12.0,13.4
IA,2022,11.6,10.8,12.4
KS,2022,11.4,10.7,12.2
KY,2022,14.8,13.3,16.3
LA,2022,14.7,13.6,15.8
ME,2022,11.1,10.3,12.0
MD,2022,11.9,11.2,12.7
MA,2022,10.5,9.6,11.4
MI,2022,11.6,10.9,12.4
MN,2022,10.2,9.6,10.8
MS,2022,15.3,14.0,16.8
MO,2022,11.7,10.8,12.7
MT,2022,8.4,7.7,9.2
NE,2022,10.8,10.0,11.7
NV,2022,10.1,8.8,11.5
NH,2022,9.7,8.9,10.6
NJ,2022,10.8,9.8,12.0
NM,2022,12.6,11.4,13.9
NY,2022,11.3,10.6,12.0
NC,2022,12.1,10.9,13.5
ND,2022,9.6,8.6,10.6
OH,2022,13.1,12.3,13.8
OK,2022,13.3,12.4,14.3
OR,2022,10.3,9.4,11.4
PA,2022,11.5,10.1,13.0
RI,2022,11.5,10.5,12.6
SC,2022,12.9,12.1,13.7
SD,2022,9.1,7.6,10.9
TN,2022,14.8,13.6,16.0
TX,2022,13.9,12.8,15.0
UT,2022,8.7,8.1,9.4
VT,2022,8.4,7.6,9.3
VA,2022,12.8,11.9,13.6
WA,2022,9.7,9.2,10.1
WV,2022,17.4,16.2,18.6
WI,2022,10.3,9.6,11.0
WY,2022,9.3,8.4,10.3
AL,2023,15.7,14.4,17.1
AK,2023,8.7,7.8,9.7
AZ,2023,11.4,10.6,12.2
AR,2023,14.5,13.4,15.8
CA,2023,11.5,10.7,12.4
CO,2023,8.6,7.9,9.4
CT,2023,9.9,8.9,10.9
DE,2023,13.3,11.9,14.8
DC,2023,7.4,6.4,8.6
FL,2023,12.5,11.4,13.7
GA,2023,12.7,11.8,13.7
HI,2023,11.3,10.3,12.4
ID,2023,9.8,8.9,10.7
IL,2023,12.2,11.0,13.5
IN,2023,13.2,12.5,13.9
IA,2023,11.3,10.6,12.1
KS,2023,11.4,10.6,12.3
KY,2023,,,
LA,2023,16.1,14.8,17.4
ME,2023,11.4,10.7,12.1
MD,2023,12.2,11.5,13.0
MA,2023,9.8,8.9,10.8
MI,2023,12.4,11.6,13.3
MN,2023,10.5,9.7,11.3
MS,2023,17.0,15.4,18.7
MO,2023,12.3,11.4,13.4
MT,2023,9.4,8.7,10.3
NE,2023,10.6,9.9,11.3
NV,2023,11.9,10.0,14.2
NH,2023,9.8,8.9,10.7
NJ,2023,10.5,9.7,11.4
NM,2023,12.5,10.9,14.4
NY,2023,10.6,10.0,11.4
NC,2023,12.4,11.0,13.8
ND,2023,9.5,8.7,10.4
OH,2023,13.2,12.5,13.9
OK,2023,12.4,11.6,13.3
OR,2023,10.9,9.9,11.9
PA,2023,,,
RI,2023,11.8,10.7,13.0
SC,2023,14.9,14.0,15.8
SD,2023,11.8,10.0,13.9
TN,2023,14.5,13.4,15.8
TX,2023,12.7,11.6,14.0
UT,2023,7.8,7.2,8.4
VT,2023,9.3,8.3,10.4
VA,2023,11.8,10.8,12.9
WA,2023,9.6,9.1,10.0
WV,2023,18.2,16.9,19.5
WI,2023,11.3,10.6,11.9
WY,2023,10.8,9.8,11.9
AL,2024,15.1,13.9,16.3
AK,2024,9.4,8.4,10.5
AZ,2024,11.5,10.5,12.7
AR,2024,15.3,14.2,16.5
CA,2024,12.6,11.6,13.6
CO,2024,8.4,7.8,9.0
CT,2024,11.7,10.7,12.7
DE,2024,13.2,12.0,14.6
DC,2024,8.4,7.4,9.6
FL,2024,11.9,10.9,13.0
GA,2024,12.8,11.8,14.0
HI,2024,11.5,10.5,12.7
ID,2024,9.3,8.3,10.5
IL,2024,12.8,12.1,13.5
IN,2024,14.3,13.6,15.0
IA,2024,11.4,10.7,12.2
KS,2024,12.5,11.8,13.3
KY,2024,16.2,15.1,17.4
LA,2024,15.4,14.2,16.7
ME,2024,11.5,10.8,12.2
MD,2024,12.4,11.7,13.2
MA,2024,9.6,8.9,10.3
MI,2024,13.6,12.8,14.5
MN,2024,10.1,9.5,10.7
MS,2024,15.2,13.6,16.9
MO,2024,11.2,10.4,12.2
MT,2024,8.7,8.0,9.5
NE,2024,10.5,9.9,11.2
NV,2024,13.6,11.5,15.9
NH,2024,10.1,9.2,11.0
NJ,2024,10.8,9.9,11.7
NM,2024,12.3,10.9,13.8
NY,2024,12.3,11.8,12.8
NC,2024,13.2,12.0,14.5
ND,2024,10.6,9.8,11.5
OH,2024,13.1,12.2,14.0
OK,2024,13.2,12.4,14.1
OR,2024,12.0,11.1,13.0
PA,2024,13.3,11.9,14.9
RI,2024,11.6,10.5,12.7
SC,2024,13.9,12.9,15.0
SD,2024,11.8,10.0,14.0
TN,2024,,,
TX,2024,13.5,12.5,14.7
UT,2024,8.7,8.1,9.3
VT,2024,8.9,8.2,9.8
VA,2024,12.9,11.8,14.0
WA,2024,10.0,9.5,10.4
WV,2024,18.4,17.3,19.5
WI,2024,11.9,11.2,12.6
WY,2024,10.1,9.2,11.1
