utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413001,OZEMPIC   ,2022,4,true,,,
FFSU,AK,00169413013,OZEMPIC   ,2022,4,false,5148.000,1544,1420415.78
FFSU,AK,00169413211,OZEMPIC   ,2022,4,true,,,
FFSU,AK,00169413212,OZEMPIC   ,2022,4,false,2332.500,1462,1291065.57
FFSU,AK,00169477212,OZEMPIC   ,2022,4,false,957.000,309,264072.00
FFSU,AK,00169413013,OZEMPIC   ,2022,3,false,5004.000,1454,1376338.59
FFSU,AK,00169413212,OZEMPIC   ,2022,3,false,2406.000,1482,1324401.97
FFSU,AK,00169477212,OZEMPIC   ,2022,3,false,639.000,209,178495.07
FFSU,AK,00169413013,OZEMPIC   ,2022,2,false,4092.000,1201,1124155.28
FFSU,AK,00169413212,OZEMPIC   ,2022,2,false,2287.500,1415,1254399.30
FFSU,AK,00169477212,OZEMPIC   ,2022,2,false,159.000,53,45051.99
FFSU,AK,00169413013,OZEMPIC   ,2022,1,false,3219.000,956,874594.36
FFSU,AK,00169413212,OZEMPIC   ,2022,1,false,1860.000,1157,1009697.29
FFSU,AL,00169413001,OZEMPIC 1M,2022,4,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2022,4,false,3061.000,1004,906388.19
FFSU,AL,00169413212,OZEMPIC 0.,2022,4,false,1816.500,1208,1085068.51
FFSU,AL,00169413602,OZEMPIC 1M,2022,4,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2022,4,false,527.000,176,157704.25
FFSU,AL,00169413001,OZEMPIC 1M,2022,3,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2022,3,false,2976.000,977,872925.14
FFSU,AL,00169413211,OZEMPIC 0.,2022,3,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2022,3,false,1807.500,1201,1061316.76
FFSU,AL,00169413602,OZEMPIC 1M,2022,3,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2022,3,false,338.000,113,99371.77
FFSU,AL,00169413001,OZEMPIC 1M,2022,2,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2022,2,false,2631.000,864,774969.29
FFSU,AL,00169413212,OZEMPIC 0.,2022,2,false,1761.000,1168,1044370.45
FFSU,AL,00169413602,OZEMPIC 1M,2022,2,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2022,2,false,102.000,34,29478.34
FFSU,AL,00169413001,OZEMPIC 1M,2022,1,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2022,1,false,1987.500,658,580824.52
FFSU,AL,00169413211,OZEMPIC 0.,2022,1,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2022,1,false,1306.500,871,774755.38
FFSU,AL,00169413602,OZEMPIC 1M,2022,1,false,96.000,33,32773.59
FFSU,AR,00169413013,OZEMPIC   ,2022,4,false,66.000,22,19140.66
MCOU,AR,00169413013,OZEMPIC   ,2022,4,false,96.000,32,28281.87
MCOU,AR,00169413212,OZEMPIC   ,2022,4,false,48.000,32,28098.88
FFSU,AR,00169413212,OZEMPIC   ,2022,4,false,31.500,21,18192.30
FFSU,AR,00169477212,OZEMPIC   ,2022,4,false,36.000,12,10314.93
MCOU,AR,00169477212,OZEMPIC   ,2022,4,true,,,
MCOU,AR,00169413013,OZEMPIC   ,2022,3,false,57.000,19,16780.85
FFSU,AR,00169413013,OZEMPIC   ,2022,3,false,57.000,19,16530.57
MCOU,AR,00169413212,OZEMPIC   ,2022,3,false,55.500,37,32603.36
FFSU,AR,00169413212,OZEMPIC   ,2022,3,false,33.000,22,19058.60
MCOU,AR,00169477212,OZEMPIC   ,2022,3,true,,,
FFSU,AR,00169477212,OZEMPIC   ,2022,3,true,,,
FFSU,AR,00169413013,OZEMPIC   ,2022,2,false,39.000,13,11247.71
MCOU,AR,00169413013,OZEMPIC   ,2022,2,false,36.000,12,10648.32
MCOU,AR,00169413212,OZEMPIC   ,2022,2,false,42.000,28,24668.90
FFSU,AR,00169413212,OZEMPIC   ,2022,2,true,,,
MCOU,AR,00169477212,OZEMPIC   ,2022,2,true,,,
MCOU,AR,00169413013,OZEMPIC   ,2022,1,false,45.000,15,13189.74
FFSU,AR,00169413013,OZEMPIC   ,2022,1,false,33.000,11,9399.70
FFSU,AR,00169413212,OZEMPIC   ,2022,1,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2022,1,false,24.000,16,14096.27
MCOU,AZ,00169413013,OZEMPIC   ,2022,4,false,786.000,220,224611.74
FFSU,AZ,00169413013,OZEMPIC   ,2022,4,true,,,
FFSU,AZ,00169413212,OZEMPIC   ,2022,4,false,18.000,12,9726.97
