utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169406012,VICTOZA 2-,2011,4,false,66.000,11,3372.40
FFSU,AK,00169406013,VICTOZA 3-,2011,4,false,675.000,70,32976.28
FFSU,AK,00169406012,VICTOZA 2-,2011,3,false,102.000,17,5115.15
FFSU,AK,00169406013,VICTOZA 3-,2011,3,false,471.000,53,23255.00
FFSU,AK,00169406012,VICTOZA 2-,2011,2,false,150.000,25,7580.61
FFSU,AK,00169406013,VICTOZA 3-,2011,2,false,450.000,50,22475.17
FFSU,AK,00169406012,VICTOZA 2-,2011,1,false,210.000,32,10540.84
FFSU,AK,00169406013,VICTOZA 3-,2011,1,false,432.000,48,21576.00
FFSU,AL,00169406012,Victoza 6M,2011,4,false,974.000,161,45377.12
FFSU,AL,00169406013,Victoza 6M,2011,4,false,1149.000,128,51866.05
FFSU,AL,00169406012,Victoza 6M,2011,3,false,834.000,135,38194.25
FFSU,AL,00169406013,Victoza 6M,2011,3,false,1050.000,117,46176.71
FFSU,AL,00169406012,VICTOZA 6M,2011,2,false,663.000,108,29532.23
FFSU,AL,00169406013,VICTOZA 6M,2011,2,false,1257.000,139,55687.88
FFSU,AL,00169406012,VICTOZA 6M,2011,1,false,681.000,109,30320.51
FFSU,AL,00169406013,VICTOZA 6M,2011,1,false,981.000,107,44046.78
FFSU,AR,00169406013,Victoza 6M,2011,4,true,,,
FFSU,AZ,00169406012,VICTOZA 2-,2011,4,false,504.000,82,22607.18
MCOU,AZ,00169406012,VICTOZA 2-,2011,4,false,486.000,79,21808.08
FFSU,AZ,00169406013,VICTOZA 3-,2011,4,false,561.000,63,25132.27
MCOU,AZ,00169406013,VICTOZA 3-,2011,4,false,543.000,61,24332.21
FFSU,AZ,00169406012,VICTOZA 2-,2011,3,false,657.000,110,29450.00
MCOU,AZ,00169406012,VICTOZA 2-,2011,3,false,639.000,107,28650.90
FFSU,AZ,00169406013,VICTOZA 3-,2011,3,false,453.000,51,20283.00
MCOU,AZ,00169406013,VICTOZA 3-,2011,3,false,444.000,50,19882.97
FFSU,AZ,00169406012,VICTOZA 2-,2011,2,false,513.000,86,22996.77
MCOU,AZ,00169406012,VICTOZA 2-,2011,2,false,489.000,82,21928.45
MCOU,AZ,00169406013,VICTOZA 3-,2011,2,false,207.000,24,9306.80
FFSU,AZ,00169406013,VICTOZA 3-,2011,2,false,234.000,27,10506.89
FFSU,AZ,00169406012,VICTOZA 2-,2011,1,false,372.000,62,16321.85
MCOU,AZ,00169406012,VICTOZA 2-,2011,1,false,372.000,62,16321.85
MCOU,AZ,00169406013,VICTOZA 3-,2011,1,false,162.000,16,7000.95
FFSU,AZ,00169406013,VICTOZA 3-,2011,1,false,180.000,18,7771.47
FFSU,CA,00169406012,VICTOZA 6M,2011,4,false,1455.000,210,58819.24
MCOU,CA,00169406012,VICTOZA 6M,2011,4,false,1497.000,257,67937.33
FFSU,CA,00169406013,VICTOZA 6M,2011,4,false,2466.000,277,111059.00
MCOU,CA,00169406013,VICTOZA 6M,2011,4,false,1989.000,240,89942.63
FFSU,CA,00169406012,VICTOZA 6M,2011,3,false,1665.000,230,62665.91
MCOU,CA,00169406012,VICTOZA 6M,2011,3,false,1290.000,222,56580.25
FFSU,CA,00169406013,VICTOZA 6M,2011,3,false,2313.000,254,100322.93
MCOU,CA,00169406013,VICTOZA 6M,2011,3,false,1422.000,165,62886.59
FFSU,CA,00169406012,VICTOZA 6M,2011,2,false,1608.000,242,70754.65
MCOU,CA,00169406012,VICTOZA 6M,2011,2,false,975.000,178,43909.20
FFSU,CA,00169406013,VICTOZA 6M,2011,2,false,2364.000,258,103492.91
MCOU,CA,00169406013,VICTOZA 6M,2011,2,false,1308.000,160,59322.57
MCOU,CA,00169406012,VICTOZA 6M,2011,1,false,798.000,139,35355.15
FFSU,CA,00169406012,VICTOZA 6M,2011,1,false,1521.000,238,66907.81
MCOU,CA,00169406013,VICTOZA 6M,2011,1,false,876.000,108,38586.33
FFSU,CA,00169406013,VICTOZA 6M,2011,1,false,2214.000,237,98347.39
FFSU,CO,00169406012,VICTOZA 2-,2011,4,false,306.000,51,14217.06
FFSU,CO,00169406013,VICTOZA   ,2011,4,false,744.000,68,33979.11
FFSU,CO,00169406012,VICTOZA 2-,2011,3,false,258.000,43,11561.96
FFSU,CO,00169406013,VICTOZA   ,2011,3,false,822.000,78,36738.67
FFSU,CO,00169406012,VICTOZA 2-,2011,2,false,284.000,46,12826.99
FFSU,CO,00169406013,VICTOZA 3-,2011,2,false,879.000,83,39330.32
FFSU,CO,00169406012,VICTOZA 2-,2011,1,false,348.000,54,15716.99
FFSU,CO,00169406013,VICTOZA 3-,2011,1,false,621.000,67,27808.67
FFSU,CT,00169406012,Victoza 6M,2011,4,false,1377.000,210,61828.54
FFSU,CT,00169406013,Victoza 6M,2011,4,false,2325.000,252,104293.33
FFSU,CT,00169406012,Victoza 6M,2011,3,false,1272.000,197,56038.18
FFSU,CT,00169406013,Victoza 6M,2011,3,false,2250.000,233,98708.20
FFSU,CT,00169406012,Victoza 6M,2011,2,false,1383.000,209,62467.69
FFSU,CT,00169406013,Victoza 6M,2011,2,false,2178.000,233,98049.44
FFSU,CT,00169406012,Victoza 6M,2011,1,false,1065.000,160,48021.97
FFSU,CT,00169406013,Victoza 6M,2011,1,false,1596.000,165,71521.27
FFSU,DC,00169406012,VICTOZA 2-,2011,4,false,96.000,14,3713.24
FFSU,DC,00169406013,VICTOZA 3-,2011,4,true,,,
FFSU,DC,00169406012,VICTOZA 2-,2011,3,true,,,
FFSU,DC,00169406013,VICTOZA 3-,2011,3,false,108.000,11,5105.10
FFSU,DC,00169406012,VICTOZA 2-,2011,2,true,,,
FFSU,DC,00169406013,VICTOZA 3-,2011,2,true,,,
FFSU,DC,00169406012,VICTOZA 2-,2011,1,true,,,
FFSU,DC,00169406013,VICTOZA 3-,2011,1,true,,,
FFSU,DE,00169406012,Victoza 6M,2011,4,false,240.000,40,10942.69
FFSU,DE,00169406013,Victoza 6M,2011,4,false,657.000,60,29919.76
FFSU,DE,00169406012,Victoza 6M,2011,3,false,207.000,34,9318.44
FFSU,DE,00169406013,Victoza 6M,2011,3,false,531.000,56,23663.55
FFSU,DE,00169406012,Victoza 6M,2011,2,false,219.000,33,9848.43
FFSU,DE,00169406013,Victoza 6M,2011,2,false,468.000,47,20882.92
FFSU,DE,00169406012,Victoza 6M,2011,1,false,204.000,31,9064.33
FFSU,DE,00169406013,Victoza 6M,2011,1,false,387.000,36,17203.27
FFSU,FL,00169406012,VICTOZA 2-,2011,4,true,,,
MCOU,FL,00169406012,VICTOZA 2-,2011,4,false,180.000,24,7469.28
FFSU,FL,00169406013,VICTOZA 3-,2011,4,false,234.000,26,10640.26
MCOU,FL,00169406013,VICTOZA 3-,2011,4,false,279.000,31,12910.54
MCOU,FL,00169406012,VICTOZA 2-,2011,3,false,294.000,29,8259.98
FFSU,FL,00169406012,VICTOZA 2-,2011,3,true,,,
MCOU,FL,00169406013,VICTOZA 3-,2011,3,false,222.000,23,9935.52
