utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169406012,VICTOZA 2-,2013,4,false,132.000,22,8024.04
FFSU,AK,00169406013,VICTOZA 3-,2013,4,false,342.000,36,20723.68
FFSU,AK,00169406012,VICTOZA 2-,2013,3,false,168.000,28,10129.84
FFSU,AK,00169406013,VICTOZA 3-,2013,3,false,297.000,32,17804.47
FFSU,AK,00169406012,VICTOZA 2-,2013,2,false,150.000,25,8768.55
FFSU,AK,00169406013,VICTOZA 3-,2013,2,false,360.000,40,21041.46
FFSU,AK,00169406012,VICTOZA 2-,2013,1,false,90.000,15,5057.67
FFSU,AK,00169406013,VICTOZA 3-,2013,1,false,324.000,36,18019.59
FFSU,AL,00169406012,Victoza 6M,2013,4,false,1371.000,211,77744.91
FFSU,AL,00169406013,Victoza 6M,2013,4,false,2943.000,328,163286.78
FFSU,AL,00169406012,Victoza 6M,2013,3,false,1299.000,213,72901.52
FFSU,AL,00169406013,Victoza 6M,2013,3,false,2665.000,299,146936.68
FFSU,AL,00169406012,Victoza 6M,2013,2,false,1502.000,245,85465.50
FFSU,AL,00169406013,Victoza 6M,2013,2,false,2619.000,294,140293.88
FFSU,AL,00169406012,VICTOZA 6M,2013,1,false,1449.000,236,75424.34
FFSU,AL,00169406013,Victoza 6M,2013,1,false,2817.000,314,142798.74
FFSU,AR,00169406012,Victoza 6M,2013,4,false,96.000,16,5527.90
FFSU,AR,00169406013,Victoza 6M,2013,4,false,240.000,27,13839.57
FFSU,AR,00169406012,Victoza 6M,2013,3,false,132.000,22,7414.51
FFSU,AR,00169406013,Victoza 6M,2013,3,false,222.000,25,12646.71
FFSU,AR,00169406012,Victoza 6M,2013,2,true,,,
FFSU,AR,00169406013,Victoza 6M,2013,2,false,165.000,19,9201.62
FFSU,AR,00169406012,VICTOZA 2-,2013,1,true,,,
FFSU,AR,00169406013,VICTOZA 3-,2013,1,true,,,
MCOU,AZ,00169406012,VICTOZA 2-,2013,4,false,1200.000,196,64340.19
MCOU,AZ,00169406013,VICTOZA 3-,2013,4,false,2184.000,245,118633.39
MCOU,AZ,00169406012,VICTOZA 2-,2013,3,false,582.000,96,32007.93
MCOU,AZ,00169406013,VICTOZA 3-,2013,3,false,1200.000,135,64811.06
MCOU,AZ,00169406012,VICTOZA 2-,2013,2,false,564.000,93,30183.41
MCOU,AZ,00169406013,VICTOZA 3-,2013,2,false,1935.000,154,67402.39
MCOU,AZ,00169406012,VICTOZA 2-,2013,1,false,390.000,92,28639.20
MCOU,AZ,00169406013,VICTOZA 3-,2013,1,false,1206.000,128,61405.07
FFSU,CA,00169406012,VICTOZA 6M,2013,4,false,1728.000,275,95544.34
MCOU,CA,00169406012,VICTOZA 6M,2013,4,false,2335.000,424,129632.71
FFSU,CA,00169406013,VICTOZA 6M,2013,4,false,2508.000,271,137381.47
MCOU,CA,00169406013,VICTOZA 6M,2013,4,false,4077.000,521,233290.95
MCOU,CA,00169406012,VICTOZA 6M,2013,3,false,2228.000,403,123169.91
FFSU,CA,00169406012,VICTOZA 6M,2013,3,false,1926.000,306,100924.19
FFSU,CA,00169406013,VICTOZA 6M,2013,3,false,2760.000,300,149159.04
MCOU,CA,00169406013,VICTOZA 6M,2013,3,false,4443.000,529,241806.57
FFSU,CA,00169406012,VICTOZA 6M,2013,2,false,1512.000,243,80144.42
MCOU,CA,00169406012,VICTOZA 6M,2013,2,false,1977.000,350,106952.56
MCOU,CA,00169406013,VICTOZA 6M,2013,2,false,4290.000,518,234565.62
