utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413212,OZEMPIC   ,2018,4,false,61.500,33,29043.53
FFSU,AK,00169413602,OZEMPIC   ,2018,4,false,33.000,11,7811.60
FFSU,AK,00169413212,OZEMPIC   ,2018,3,false,42.000,25,19610.90
FFSU,AK,00169413602,OZEMPIC   ,2018,3,false,33.000,11,7937.93
FFSU,AK,00169413212,OZEMPIC   ,2018,2,true,,,
FFSU,AK,00169413602,OZEMPIC   ,2018,2,true,,,
FFSU,AK,00169413212,OZEMPIC   ,2018,1,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2018,4,false,69.000,44,39059.31
FFSU,AL,00169413602,OZEMPIC 1M,2018,4,false,36.000,12,9593.40
FFSU,AL,00169413212,OZEMPIC 0.,2018,3,false,24.000,16,11787.08
FFSU,AL,00169413602,OZEMPIC 1M,2018,3,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2018,2,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2018,4,false,18.000,12,6618.79
MCOU,AZ,00169413212,OZEMPIC   ,2018,3,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2018,1,true,,,
FFSU,CA,00169413212,OZEMPIC 0.,2018,4,false,135.000,87,65636.75
MCOU,CA,00169413212,OZEMPIC 0.,2018,4,false,1432.500,913,702731.72
FFSU,CA,00169413602,OZEMPIC 1M,2018,4,false,126.000,40,31124.97
MCOU,CA,00169413602,OZEMPIC 1M,2018,4,false,631.500,205,152468.23
FFSU,CA,00169413212,OZEMPIC 0.,2018,3,false,60.000,39,29521.55
MCOU,CA,00169413212,OZEMPIC 0.,2018,3,false,461.000,285,222524.98
FFSU,CA,00169413602,OZEMPIC 1M,2018,3,false,37.500,11,9285.11
MCOU,CA,00169413602,OZEMPIC 1M,2018,3,false,190.500,65,46305.04
FFSU,CA,00169413212,OZEMPIC 0.,2018,2,false,16.500,11,7674.77
MCOU,CA,00169413212,OZEMPIC 0.,2018,2,false,100.500,67,45330.34
MCOU,CA,00169413602,OZEMPIC 1M,2018,2,false,54.000,18,12218.40
FFSU,CA,00169413602,OZEMPIC 1M,2018,2,true,,,
FFSU,CA,00169413212,OZEMPIC 0.,2018,1,true,,,
MCOU,CA,00169413212,OZEMPIC 0.,2018,1,true,,,
FFSU,CO,00169413212,OZEMPIC   ,2018,4,true,,,
MCOU,CO,00169413212,OZEMPIC   ,2018,4,true,,,
MCOU,CO,00169413602,OZEMPIC   ,2018,4,true,,,
FFSU,CO,00169413602,OZEMPIC   ,2018,4,true,,,
FFSU,CO,00169413212,OZEMPIC   ,2018,3,true,,,
FFSU,CO,00169413602,OZEMPIC   ,2018,3,true,,,
MCOU,CO,00169413602,OZEMPIC   ,2018,3,true,,,
FFSU,CO,00169413212,OZEMPIC   ,2018,2,true,,,
FFSU,CO,00169413212,OZEMPIC   ,2018,1,true,,,
FFSU,CT,00169413212,OZEMPIC 0.,2018,4,false,465.000,234,220287.51
FFSU,CT,00169413602,OZEMPIC 1M,2018,4,false,793.500,233,188622.30
FFSU,CT,00169413212,OZEMPIC 0.,2018,3,false,186.000,93,87259.71
FFSU,CT,00169413602,OZEMPIC 1M,2018,3,false,469.500,139,111594.72
FFSU,CT,00169413212,OZEMPIC 0.,2018,2,false,85.500,48,38567.00
FFSU,CT,00169413602,OZEMPIC 1M,2018,2,false,139.500,45,31917.75
FFSU,CT,00169413212,OZEMPIC 0.,2018,1,true,,,
MCOU,DC,00169413212,OZEMPIC 0.,2018,4,false,54.000,36,25877.17
FFSU,DC,00169413212,OZEMPIC 0.,2018,4,true,,,
MCOU,DC,00169413602,OZEMPIC 1 ,2018,4,false,55.500,20,13196.88
MCOU,DC,00169413212,OZEMPIC 0.,2018,3,false,24.000,16,11337.94
MCOU,DC,00169413602,OZEMPIC 1 ,2018,3,true,,,
MCOU,DC,00169413212,OZEMPIC 0.,2018,2,true,,,
MCOU,DC,00169413602,OZEMPIC 1 ,2018,2,true,,,
MCOU,DE,00169413212,OZEMPIC 0.,2018,4,false,24.000,16,12411.09
MCOU,DE,00169413602,OZEMPIC 1M,2018,4,true,,,
MCOU,DE,00169413212,OZEMPIC 0.,2018,3,true,,,
MCOU,DE,00169413602,OZEMPIC 1M,2018,3,true,,,
MCOU,DE,00169413212,OZEMPIC   ,2018,2,true,,,
FFSU,FL,00169413212,OZEMPIC   ,2018,4,true,,,
MCOU,FL,00169413212,OZEMPIC   ,2018,4,false,48.000,30,22684.57
MCOU,FL,00169413602,OZEMPIC   ,2018,4,false,57.000,19,13580.45
MCOU,FL,00169413212,OZEMPIC   ,2018,3,false,25.500,16,11968.76
FFSU,FL,00169413212,OZEMPIC   ,2018,3,true,,,
MCOU,FL,00169413602,OZEMPIC   ,2018,3,true,,,
MCOU,FL,00169413212,OZEMPIC   ,2018,2,true,,,
MCOU,FL,00169413212,OZEMPIC   ,2018,1,true,,,
