utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413013,OZEMPIC   ,2021,4,false,2383.000,705,619793.39
FFSU,AK,00169413212,OZEMPIC   ,2021,4,false,1294.500,804,676022.53
FFSU,AK,00169413602,OZEMPIC   ,2021,4,true,,,
FFSU,AK,00169413013,OZEMPIC   ,2021,3,false,1983.000,582,513337.48
FFSU,AK,00169413212,OZEMPIC   ,2021,3,false,1092.000,667,568494.21
FFSU,AK,00169413602,OZEMPIC   ,2021,3,false,90.000,28,24152.78
FFSU,AK,00169413013,OZEMPIC   ,2021,2,false,651.000,179,169098.41
FFSU,AK,00169413212,OZEMPIC   ,2021,2,false,880.500,526,455770.98
FFSU,AK,00169413602,OZEMPIC   ,2021,2,false,1024.500,305,267510.89
FFSU,AK,00169413013,OZEMPIC   ,2021,1,true,,,
FFSU,AK,00169413212,OZEMPIC   ,2021,1,false,787.500,482,401467.03
FFSU,AK,00169413602,OZEMPIC   ,2021,1,false,1333.500,390,339588.68
FFSU,AL,00169413001,OZEMPIC 1M,2021,4,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2021,4,false,1695.000,556,475138.37
FFSU,AL,00169413211,OZEMPIC 0.,2021,4,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2021,4,false,1431.000,951,813618.41
FFSU,AL,00169413602,OZEMPIC 1M,2021,4,false,145.500,49,40502.82
FFSU,AL,00169413013,OZEMPIC 1M,2021,3,false,753.000,250,209516.38
FFSU,AL,00169413211,OZEMPIC 0.,2021,3,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2021,3,false,1020.000,674,582524.35
FFSU,AL,00169413602,OZEMPIC 1M,2021,3,false,400.500,132,113125.18
FFSU,AL,00169413013,OZEMPIC 1M,2021,2,false,195.000,65,53831.05
FFSU,AL,00169413212,OZEMPIC 0.,2021,2,false,1125.000,749,641241.72
FFSU,AL,00169413602,OZEMPIC 1M,2021,2,false,1114.500,374,313058.67
FFSU,AL,00169413212,OZEMPIC 0.,2021,1,false,1086.250,725,601873.54
FFSU,AL,00169413602,OZEMPIC 1M,2021,1,false,1224.000,412,340182.59
FFSU,AR,00169413013,OZEMPIC   ,2021,4,true,,,
MCOU,AR,00169413013,OZEMPIC   ,2021,4,false,33.000,11,9318.54
FFSU,AR,00169413212,OZEMPIC   ,2021,4,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2021,4,false,25.500,17,14335.18
FFSU,AR,00169413013,OZEMPIC   ,2021,3,true,,,
MCOU,AR,00169413013,OZEMPIC   ,2021,3,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2021,3,false,19.500,13,10948.60
FFSU,AR,00169413212,OZEMPIC   ,2021,3,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2021,3,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2021,3,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2021,2,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2021,2,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2021,2,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2021,2,true,,,
MCOU,AR,00169413212,OZEMPIC   ,2021,1,true,,,
FFSU,AR,00169413212,OZEMPIC   ,2021,1,true,,,
MCOU,AR,00169413602,OZEMPIC   ,2021,1,true,,,
FFSU,AR,00169413602,OZEMPIC   ,2021,1,true,,,
MCOU,AZ,00169413001,OZEMPIC   ,2021,4,true,,,
MCOU,AZ,00169413013,OZEMPIC   ,2021,4,false,570.000,153,156488.55
FFSU,AZ,00169413013,OZEMPIC   ,2021,4,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2021,4,false,234.000,142,129309.87
FFSU,AZ,00169413212,OZEMPIC   ,2021,4,false,36.000,24,16911.36
MCOU,AZ,00169413602,OZEMPIC   ,2021,4,true,,,
FFSU,AZ,00169413602,OZEMPIC   ,2021,4,true,,,
FFSU,AZ,00169413013,OZEMPIC   ,2021,3,true,,,
MCOU,AZ,00169413013,OZEMPIC   ,2021,3,false,384.000,98,104824.38
FFSU,AZ,00169413212,OZEMPIC   ,2021,3,false,49.500,33,22893.96
MCOU,AZ,00169413212,OZEMPIC   ,2021,3,false,193.500,116,106634.05
FFSU,AZ,00169413602,OZEMPIC   ,2021,3,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2021,3,false,57.000,17,15714.99
MCOU,AZ,00169413013,OZEMPIC   ,2021,2,false,99.000,22,27384.47
FFSU,AZ,00169413212,OZEMPIC   ,2021,2,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2021,2,false,174.000,94,95882.93
FFSU,AZ,00169413602,OZEMPIC   ,2021,2,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2021,2,false,300.000,82,82390.57
MCOU,AZ,00169413013,OZEMPIC   ,2021,1,true,,,
MCOU,AZ,00169413212,OZEMPIC   ,2021,1,false,157.500,87,86102.06
FFSU,AZ,00169413212,OZEMPIC   ,2021,1,true,,,
MCOU,AZ,00169413602,OZEMPIC   ,2021,1,false,346.500,96,94111.10
FFSU,AZ,00169413602,OZEMPIC   ,2021,1,true,,,
FFSU,CA,00169413001,OZEMPIC 1M,2021,4,true,,,
MCOU,CA,00169413001,OZEMPIC 1M,2021,4,true,,,
FFSU,CA,00169413013,OZEMPIC 1M,2021,4,false,6003.000,1635,1688344.24
MCOU,CA,00169413013,OZEMPIC 1M,2021,4,false,29912.000,8627,8194643.59
MCOU,CA,00169413211,OZEMPIC 0.,2021,4,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2021,4,true,,,
FFSU,CA,00169413212,OZEMPIC 0.,2021,4,false,4147.500,2346,2326742.36
MCOU,CA,00169413212,OZEMPIC 0.,2021,4,false,23552.000,13585,12826957.46
FFSU,CA,00169413602,OZEMPIC 1M,2021,4,false,208.500,65,60427.36
MCOU,CA,00169413602,OZEMPIC 1M,2021,4,false,1306.500,394,356239.97
MCOU,CA,00169413001,OZEMPIC 1M,2021,3,true,,,
FFSU,CA,00169413001,OZEMPIC 1M,2021,3,true,,,
FFSU,CA,00169413013,OZEMPIC 1M,2021,3,false,4402.000,1219,1249923.93
MCOU,CA,00169413013,OZEMPIC 1M,2021,3,false,23395.000,6646,6472278.32
MCOU,CA,00169413211,OZEMPIC 0.,2021,3,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2021,3,true,,,
FFSU,CA,00169413212,OZEMPIC 0.,2021,3,false,3637.500,2125,2026096.99
MCOU,CA,00169413212,OZEMPIC 0.,2021,3,false,21807.000,12544,11904290.83
MCOU,CA,00169413602,OZEMPIC 1M,2021,3,false,3420.000,1002,930952.48
FFSU,CA,00169413602,OZEMPIC 1M,2021,3,false,637.500,204,180575.53
MCOU,CA,00169413611,OZEMPIC 1M,2021,3,true,,,
FFSU,CA,00169413001,OZEMPIC 1M,2021,2,true,,,
FFSU,CA,00169413013,OZEMPIC 1M,2021,2,false,769.000,210,217668.20
MCOU,CA,00169413013,OZEMPIC 1M,2021,2,false,4749.000,1282,1268222.32
FFSU,CA,00169413211,OZEMPIC 0.,2021,2,true,,,
MCOU,CA,00169413211,OZEMPIC 0.,2021,2,false,24.000,15,12468.67
FFSU,CA,00169413212,OZEMPIC 0.,2021,2,false,2604.000,1536,1451101.51
MCOU,CA,00169413212,OZEMPIC 0.,2021,2,false,19759.000,11274,10825965.25
MCOU,CA,00169413602,OZEMPIC 1M,2021,2,false,19257.000,5522,5309361.23
FFSU,CA,00169413602,OZEMPIC 1M,2021,2,false,3051.000,911,862026.66
MCOU,CA,00169413611,OZEMPIC 1M,2021,2,false,48.000,16,13124.55
MCOU,CA,00169413013,OZEMPIC 1M,2021,1,true,,,
MCOU,CA,00169413211,OZEMPIC 0.,2021,1,true,,,
FFSU,CA,00169413211,OZEMPIC 0.,2021,1,true,,,
MCOU,CA,00169413212,OZEMPIC 0.,2021,1,false,17163.500,9812,9394219.54
