state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
AK,2017,34.2,31.4,37.1,3031.0,7.4,6.2,8.9,2607.0,36.0,6.0,16.666666666666668,190562.0,740983,11.49577156004218,56500.0,72305.19423342688,6.608333333333333,13.68058689560353,3.5182993402007874,11.188651248352274,13.515732962044742
AK,2018,29.5,27.0,32.2,2600.0,8.8,7.4,10.3,3434.0,43.0,8.0,18.6046511627907,204129.0,736624,12.142249613073243,58997.0,73700.50370393478,6.091666666666666,16.822695452385503,4.661808466734725,11.207764912671506,13.509832864596445
AK,2019,30.5,27.8,33.4,2729.0,7.3,6.2,8.5,4229.0,41.0,3.0,7.317073170731708,212001.0,733603,12.819496758474871,60504.0,74237.74134722605,5.6000000000000005,19.94801911311739,5.764698345017673,11.215027943333832,13.505723289338059
AK,2020,31.9,29.4,34.4,3335.0,7.6,6.5,9.0,5765.0,52.0,10.0,19.23076923076923,223872.0,733017,13.187639284279038,61912.0,75039.6642442656,8.283333333333333,25.751322184105202,7.864756206199856,11.225772109313295,13.504924172960013
AK,2021,33.5,31.5,35.5,5012.0,8.3,7.3,9.5,9399.0,65.0,13.0,20.0,242095.0,734420,13.77863967511276,65788.0,76159.64869633355,6.408333333333334,38.82360230488032,12.797854088940934,11.240587056748904,13.506836351033071
AK,2022,32.1,30.4,33.9,5273.0,8.7,7.8,9.7,16245.0,82.0,27.0,32.926829268292686,253706.0,734442,14.279677376331104,69233.0,74208.96681159464,4.366666666666666,64.03080731240097,22.118833073271954,11.214640268371568,13.506866306195642
AK,2023,35.2,33.3,37.0,5075.0,8.7,7.8,9.7,23065.0,97.0,19.0,19.587628865979383,,736510,14.764355128000648,72581.0,74721.79488893368,4.25,,31.316614845691166,11.221527094147051,13.509678092525164
AK,2024,34.0,32.0,36.0,5074.0,9.4,8.4,10.5,24909.0,82.0,6.0,7.317073170731708,,740133,15.198255358412789,76606.0,76606.0,4.541666666666667,,33.654762049523534,11.24643068164285,13.51458517876063
AZ,2011,25.1,23.0,27.3,6150.0,9.4,8.3,10.7,2632.0,37.0,5.0,13.513513513513514,,6473416,14.255174877578334,35263.0,49176.00386697144,9.5,,0.4065859509106166,10.803161057222182,15.683214502417659
AZ,2012,26.0,24.3,27.8,6951.0,10.7,9.6,11.9,1667.0,25.0,5.0,20.0,,6556344,14.839295582181364,36364.0,49683.28822010745,8.391666666666667,,0.25425755573533054,10.813423902422414,15.695943688488216
AZ,2013,26.8,24.3,29.4,4029.0,10.7,9.2,12.3,2132.0,20.0,0.0,0.0,,6634690,15.329372641898107,36918.0,49712.00782261396,7.841666666666666,,0.32134131361073387,10.814001788991481,15.707822502727778
AZ,2014,28.9,27.7,30.2,13849.0,10.0,9.4,10.7,3194.0,29.0,9.0,31.03448275862069,,6732873,15.79696870255172,38268.0,50707.26810788663,6.816666666666666,,0.4743888678726006,10.833824534490043,15.722512505029606
AZ,2015,28.4,26.9,30.0,7152.0,10.1,9.3,10.9,5532.0,60.0,22.0,36.666666666666664,,6832810,16.26889211457269,39888.0,52791.23516034714,6.108333333333333,,0.8096229808819505,10.874100455163703,15.737246567141865
AZ,2016,29.0,27.5,30.6,10033.0,10.8,10.0,11.7,10536.0,58.0,16.0,27.586206896551722,2050688.0,6944767,16.712341227957452,41173.0,53813.01947858501,5.5,5.137787903376818,1.517113533110614,10.89327071461636,15.753498984291735
AZ,2017,29.5,28.5,30.5,14164.0,10.4,9.9,11.0,14807.0,60.0,17.0,28.333333333333332,1905543.0,7048088,17.173352610998425,43255.0,55355.06507198017,4.958333333333333,7.770488516921423,2.100853451318996,10.921523443832216,15.768266932331784
AZ,2018,29.5,27.8,31.3,7449.0,10.8,9.8,11.9,19690.0,75.0,23.0,30.666666666666668,1844931.0,7164228,17.622439657582,45297.0,56586.1266891051,4.808333333333334,10.672485854484531,2.748377075659792,10.94351912264663,15.784610867451955
AZ,2019,31.4,29.7,33.2,8183.0,10.9,10.0,12.0,24479.0,76.0,15.0,19.736842105263158,1848938.0,7291843,18.0933569629945,47718.0,58549.460227537566,4.816666666666666,13.239492075991732,3.3570388172098604,10.977627149983157,15.802266884104585
AZ,2020,30.9,29.5,32.3,9167.0,11.0,10.2,11.8,32330.0,92.0,28.0,30.434782608695652,1940634.0,7187135,18.30269205744473,52080.0,63122.91177544503,7.825,16.659504058982787,4.498315392712117,11.05283908524545,15.787803180189567
AZ,2021,31.3,30.0,32.6,9679.0,11.0,10.3,11.9,41072.0,127.0,40.0,31.496062992125985,2144328.0,7274078,18.65440179093285,57175.0,66188.78692486275,5.033333333333333,19.153786174503153,5.646351331398976,11.100266345778726,15.799827627595032
AZ,2022,33.2,31.6,34.9,9180.0,12.7,11.7,13.8,66083.0,151.0,45.0,29.801324503311257,2307443.0,7377566,18.940667205026724,59120.0,63369.11758701018,3.725,28.639060639851124,8.957290249927958,11.056731917445642,15.813954331879174
AZ,2023,31.9,30.5,33.3,10990.0,11.4,10.6,12.2,82326.0,168.0,41.0,24.404761904761905,,7473027,19.31519285994315,63209.0,65073.36538673495,3.691666666666667,,11.016419450913265,11.083270610634257,15.826810695912725
AZ,2024,33.3,31.4,35.3,7755.0,11.5,10.5,12.7,86443.0,170.0,42.0,24.705882352941178,,7582384,19.67525853938384,66024.0,66024.0,3.7,,11.40050411585591,11.09777359127252,15.841338220043413
AR,2011,30.9,28.8,33.1,4527.0,11.2,10.1,12.4,75.0,13.0,12.0,92.3076923076923,,2941038,14.571291091859427,34181.0,47667.1011592023,7.883333333333333,,0.025501200596524085,10.771996735760412,14.894273138227906
