year,coef,ci_low,ci_high
2011,0.027903993832754537,-0.4735783540339277,0.5293863416994368
2012,0.008927235276536456,-0.4499920520269843,0.46784652258005716
2013,-0.1197935931592169,-0.5339993009765247,0.2944121146580909
2014,-0.24901443037916152,-0.6608525514933108,0.16282369073498779
2015,-0.21916824820477995,-0.6531058465891542,0.21476935017959428
2016,-0.19352065003908003,-0.5736994240007329,0.1866581239225728
2017,-0.06611670622813026,-0.4934025328754889,0.3611691204192284
2018,-0.22087012346109722,-0.6605360087663242,0.21879576184412983
2019,-0.16510350661828432,-0.5967078935443536,0.26650088030778496
2020,0.0,0.0,0.0
2021,-0.18069677010199756,-0.6594851190832152,0.2980915788792201
2022,-0.23627501855591204,-0.6656959221514409,0.19314588503961683
2023,-0.2668644229293336,-0.7532082400090195,0.21947939415035234
2024,-0.07305133439528227,-0.4840385084888375,0.33793583969827296
