column,beta,se,t,pvalue,n,r2_within
(1) Pooled OLS,0.1442292641461903,0.026140883441124026,5.517382932793056,4.831164268637167e-08,709,0.39779805045722283
(2) + State FE,0.17663087519012535,0.017218850131317926,10.257994804709185,0.0,709,0.4116505672474311
(3) + Year FE (TWFE),-0.004134528820421275,0.012266337429078884,-0.33706302670427596,0.736179207276833,709,-0.019497167689891848
(4) + Controls,-0.007616870979775276,0.012951930455863521,-0.5880876990292216,0.5566805606402752,709,-0.14641228178340726
